report_type,dt,scene_key,ab_group,ab_label,trigger_pv,show_pv,show_rate,impression_pv,revenue_usd,ecpm,show_rate_diff_vs_b,revenue_diff_vs_b,ecpm_diff_vs_b
overall_monetization,2026-03-23,,A,csv3_1,,,,17152,252.60082000000003,14.727193330223884,,11.490145999999982,3.3893454039566002
overall_monetization,2026-03-23,,B,single_layer,,,,21266,241.11067400000005,11.337847926267283,,0.0,0.0
overall_monetization,2026-03-24,,A,csv3_1,,,,28910,495.2752859999998,17.13162525077827,,36.923502999999926,3.534716825978512
overall_monetization,2026-03-24,,B,single_layer,,,,33710,458.3517829999999,13.596908424799759,,0.0,0.0
overall_monetization,2026-03-25,,A,csv3_1,,,,33763,611.181015,18.10209445250718,,94.88812400000006,3.793217699555573
overall_monetization,2026-03-25,,B,single_layer,,,,36082,516.2928909999999,14.308876752951608,,0.0,0.0
scene_show_rate,2026-03-23,app_resume,A,csv3_1,5447,3764,0.6910225812373784,,,,-0.04991109938774685,,
scene_show_rate,2026-03-23,app_resume,B,single_layer,4991,3698,0.7409336806251252,,,,0.0,,
scene_show_rate,2026-03-23,classic_game_settings_replay,A,csv3_1,123,72,0.5853658536585366,,,,-0.24116475858636144,,
scene_show_rate,2026-03-23,classic_game_settings_replay,B,single_layer,98,81,0.826530612244898,,,,0.0,,
scene_show_rate,2026-03-23,classic_over_no_revive,A,csv3_1,2839,2547,0.8971468827051778,,,,-0.049131207182462555,,
scene_show_rate,2026-03-23,classic_over_no_revive,B,single_layer,2848,2695,0.9462780898876404,,,,0.0,,
scene_show_rate,2026-03-23,classic_revive_back,A,csv3_1,7580,1386,0.18284960422163588,,,,-0.6082763899181716,,
scene_show_rate,2026-03-23,classic_revive_back,B,single_layer,7167,5670,0.7911259941398074,,,,0.0,,
scene_show_rate,2026-03-23,dc_game_start,A,csv3_1,321,103,0.32087227414330216,,,,-0.5509225976515697,,
scene_show_rate,2026-03-23,dc_game_start,B,single_layer,312,272,0.8717948717948718,,,,0.0,,
scene_show_rate,2026-03-23,dc_game_win,A,csv3_1,322,293,0.9099378881987578,,,,0.030172492304329612,,
scene_show_rate,2026-03-23,dc_game_win,B,single_layer,341,300,0.8797653958944281,,,,0.0,,
scene_show_rate,2026-03-23,event_game_win,A,csv3_1,1325,1190,0.8981132075471698,,,,-0.01504704312427152,,
scene_show_rate,2026-03-23,event_game_win,B,single_layer,1117,1020,0.9131602506714414,,,,0.0,,
scene_show_rate,2026-03-23,event_over_no_revive,A,csv3_1,455,396,0.8703296703296703,,,,-0.040333153877822436,,
scene_show_rate,2026-03-23,event_over_no_revive,B,single_layer,347,316,0.9106628242074928,,,,0.0,,
scene_show_rate,2026-03-23,event_revive_back,A,csv3_1,144,44,0.3055555555555556,,,,-0.550376647834275,,
scene_show_rate,2026-03-23,event_revive_back,B,single_layer,118,101,0.8559322033898306,,,,0.0,,
scene_show_rate,2026-03-23,event_revive_timeout,A,csv3_1,370,334,0.9027027027027027,,,,0.06509586509586507,,
scene_show_rate,2026-03-23,event_revive_timeout,B,single_layer,234,196,0.8376068376068376,,,,0.0,,
scene_show_rate,2026-03-23,events_settings_replay,A,csv3_1,2,2,1.0,,,,0.0,,
scene_show_rate,2026-03-23,events_settings_replay,B,single_layer,1,1,1.0,,,,0.0,,
scene_show_rate,2026-03-23,revive_timeout,A,csv3_1,7700,7078,0.9192207792207793,,,,-0.01989560008956559,,
scene_show_rate,2026-03-23,revive_timeout,B,single_layer,7424,6972,0.9391163793103449,,,,0.0,,
scene_show_rate,2026-03-24,app_resume,A,csv3_1,8144,5438,0.6677308447937131,,,,-0.04047104795076639,,
scene_show_rate,2026-03-24,app_resume,B,single_layer,8242,5837,0.7082018927444795,,,,0.0,,
scene_show_rate,2026-03-24,classic_game_settings_replay,A,csv3_1,233,151,0.648068669527897,,,,-0.22874292467500157,,
scene_show_rate,2026-03-24,classic_game_settings_replay,B,single_layer,138,121,0.8768115942028986,,,,0.0,,
scene_show_rate,2026-03-24,classic_over_no_revive,A,csv3_1,5088,4647,0.9133254716981132,,,,-0.021324365435437365,,
scene_show_rate,2026-03-24,classic_over_no_revive,B,single_layer,4912,4591,0.9346498371335505,,,,0.0,,
scene_show_rate,2026-03-24,classic_revive_back,A,csv3_1,11278,3467,0.3074126618194715,,,,-0.47157955752102493,,
scene_show_rate,2026-03-24,classic_revive_back,B,single_layer,10796,8410,0.7789922193404965,,,,0.0,,
scene_show_rate,2026-03-24,dc_game_start,A,csv3_1,675,330,0.4888888888888889,,,,-0.34494344644045244,,
scene_show_rate,2026-03-24,dc_game_start,B,single_layer,668,557,0.8338323353293413,,,,0.0,,
scene_show_rate,2026-03-24,dc_game_win,A,csv3_1,909,830,0.9130913091309131,,,,-0.02426093673197105,,
scene_show_rate,2026-03-24,dc_game_win,B,single_layer,846,793,0.9373522458628841,,,,0.0,,
scene_show_rate,2026-03-24,event_game_win,A,csv3_1,1664,1518,0.9122596153846154,,,,0.0709992111039971,,
scene_show_rate,2026-03-24,event_game_win,B,single_layer,1682,1415,0.8412604042806183,,,,0.0,,
scene_show_rate,2026-03-24,event_over_no_revive,A,csv3_1,650,596,0.916923076923077,,,,0.10685814185814191,,
scene_show_rate,2026-03-24,event_over_no_revive,B,single_layer,616,499,0.810064935064935,,,,0.0,,
scene_show_rate,2026-03-24,event_revive_back,A,csv3_1,200,93,0.465,,,,-0.39124999999999993,,
scene_show_rate,2026-03-24,event_revive_back,B,single_layer,160,137,0.85625,,,,0.0,,
scene_show_rate,2026-03-24,event_revive_timeout,A,csv3_1,485,445,0.9175257731958762,,,,0.20137993986254288,,
scene_show_rate,2026-03-24,event_revive_timeout,B,single_layer,384,275,0.7161458333333334,,,,0.0,,
scene_show_rate,2026-03-24,events_settings_replay,A,csv3_1,10,9,0.9,,,,-0.09999999999999998,,
scene_show_rate,2026-03-24,events_settings_replay,B,single_layer,3,3,1.0,,,,0.0,,
scene_show_rate,2026-03-24,revive_timeout,A,csv3_1,12579,11511,0.9150965895540186,,,,-0.02391050264456296,,
scene_show_rate,2026-03-24,revive_timeout,B,single_layer,11985,11254,0.9390070921985816,,,,0.0,,
scene_show_rate,2026-03-25,app_resume,A,csv3_1,8469,5830,0.6883929625693707,,,,-0.012914756444632358,,
scene_show_rate,2026-03-25,app_resume,B,single_layer,8641,6060,0.701307719014003,,,,0.0,,
scene_show_rate,2026-03-25,classic_game_settings_replay,A,csv3_1,243,186,0.7654320987654321,,,,-0.048775551507792,,
scene_show_rate,2026-03-25,classic_game_settings_replay,B,single_layer,183,149,0.8142076502732241,,,,0.0,,
scene_show_rate,2026-03-25,classic_over_no_revive,A,csv3_1,5437,5032,0.9255103917601618,,,,0.0008872761822723563,,
scene_show_rate,2026-03-25,classic_over_no_revive,B,single_layer,5174,4784,0.9246231155778895,,,,0.0,,
scene_show_rate,2026-03-25,classic_revive_back,A,csv3_1,11959,6154,0.5145915210301865,,,,-0.2528662803578694,,
scene_show_rate,2026-03-25,classic_revive_back,B,single_layer,11671,8957,0.7674578013880559,,,,0.0,,
scene_show_rate,2026-03-25,dc_game_start,A,csv3_1,786,512,0.6513994910941476,,,,-0.2017473620527055,,
scene_show_rate,2026-03-25,dc_game_start,B,single_layer,858,732,0.8531468531468531,,,,0.0,,
scene_show_rate,2026-03-25,dc_game_win,A,csv3_1,1209,1128,0.9330024813895782,,,,0.0020632548702411713,,
scene_show_rate,2026-03-25,dc_game_win,B,single_layer,1086,1011,0.930939226519337,,,,0.0,,
scene_show_rate,2026-03-25,event_game_win,A,csv3_1,1733,1612,0.9301788805539527,,,,0.07334357377246725,,
scene_show_rate,2026-03-25,event_game_win,B,single_layer,1858,1592,0.8568353067814855,,,,0.0,,
scene_show_rate,2026-03-25,event_over_no_revive,A,csv3_1,582,542,0.9312714776632303,,,,0.15478381438311417,,
scene_show_rate,2026-03-25,event_over_no_revive,B,single_layer,689,535,0.7764876632801161,,,,0.0,,
scene_show_rate,2026-03-25,event_revive_back,A,csv3_1,238,166,0.6974789915966386,,,,-0.13178930108628817,,
scene_show_rate,2026-03-25,event_revive_back,B,single_layer,164,136,0.8292682926829268,,,,0.0,,
scene_show_rate,2026-03-25,event_revive_timeout,A,csv3_1,404,369,0.9133663366336634,,,,0.15537546905375477,,
scene_show_rate,2026-03-25,event_revive_timeout,B,single_layer,438,332,0.7579908675799086,,,,0.0,,
scene_show_rate,2026-03-25,events_settings_replay,A,csv3_1,5,4,0.8,,,,0.050000000000000044,,
scene_show_rate,2026-03-25,events_settings_replay,B,single_layer,4,3,0.75,,,,0.0,,
scene_show_rate,2026-03-25,revive_timeout,A,csv3_1,13126,12086,0.9207679414901722,,,,0.0001764847541371184,,
scene_show_rate,2026-03-25,revive_timeout,B,single_layer,12782,11767,0.920591456736035,,,,0.0,,
scene_show_rate,2026-03-26,app_resume,A,csv3_1,8640,6098,0.705787037037037,,,,0.003433552957664676,,
scene_show_rate,2026-03-26,app_resume,B,single_layer,8668,6088,0.7023534840793724,,,,0.0,,
scene_show_rate,2026-03-26,classic_game_settings_replay,A,csv3_1,147,125,0.8503401360544217,,,,0.07256235827664392,,
scene_show_rate,2026-03-26,classic_game_settings_replay,B,single_layer,189,147,0.7777777777777778,,,,0.0,,
scene_show_rate,2026-03-26,classic_over_no_revive,A,csv3_1,5250,4838,0.9215238095238095,,,,-0.010182547492525895,,
scene_show_rate,2026-03-26,classic_over_no_revive,B,single_layer,5081,4734,0.9317063570163354,,,,0.0,,
scene_show_rate,2026-03-26,classic_revive_back,A,csv3_1,11927,6992,0.5862329169112098,,,,-0.18866298870988663,,
scene_show_rate,2026-03-26,classic_revive_back,B,single_layer,11528,8933,0.7748959056210964,,,,0.0,,
