dt,ab_group,trigger_pv,show_pv,show_rate
2026-03-23,A,1644,1332,0.8102189781021898
2026-03-24,A,4425,3369,0.7613559322033898
2026-03-25,A,8221,6115,0.7438267850626444
2026-03-26,A,9845,6976,0.7085830370746572
2026-03-27,A,10331,7554,0.7311973671474203
2026-03-28,A,10828,7772,0.717768747691171
2026-03-29,A,11372,8221,0.7229159338726697
2026-03-30,A,10684,8035,0.7520591538749531
TOTAL,A,67350,49374,0.7330957683741648
2026-03-23,B,1761,1569,0.8909710391822828
2026-03-24,B,4855,4107,0.8459320288362513
2026-03-25,B,8463,7164,0.8465083303792981
2026-03-26,B,9893,8247,0.8336197311230162
2026-03-27,B,10210,8585,0.8408423114593536
2026-03-28,B,10811,9074,0.8393303117195449
2026-03-29,B,11471,9618,0.8384622090489059
2026-03-30,B,10273,8861,0.86255232161978
TOTAL,B,67737,57225,0.8448115505558262
