product,event_date,ab_group,total_dau,user_type,type_dau,type_ratio
ball_sort,2026-01-30,A,3221,new,1968,0.611
ball_sort,2026-01-30,A,3221,old,1253,0.389
ball_sort,2026-01-30,B,3200,new,1882,0.5881
ball_sort,2026-01-30,B,3200,old,1318,0.4119
ball_sort,2026-01-31,A,11400,new,3450,0.3026
ball_sort,2026-01-31,A,11400,old,7950,0.6974
ball_sort,2026-01-31,B,11415,new,3418,0.2994
ball_sort,2026-01-31,B,11415,old,7997,0.7006
ball_sort,2026-02-01,A,16143,new,4585,0.284
ball_sort,2026-02-01,A,16143,old,11558,0.716
ball_sort,2026-02-01,B,16015,new,4480,0.2797
ball_sort,2026-02-01,B,16015,old,11535,0.7203
ball_sort,2026-02-02,A,35044,new,14792,0.4221
ball_sort,2026-02-02,A,35044,old,20252,0.5779
ball_sort,2026-02-02,B,34939,new,14619,0.4184
ball_sort,2026-02-02,B,34939,old,20320,0.5816
ball_sort,2026-02-03,A,90913,new,35064,0.3857
ball_sort,2026-02-03,A,90913,old,55849,0.6143
ball_sort,2026-02-03,B,91818,new,35346,0.385
ball_sort,2026-02-03,B,91818,old,56472,0.615
ball_sort,2026-02-04,A,158532,new,55236,0.3484
ball_sort,2026-02-04,A,158532,old,103296,0.6516
ball_sort,2026-02-04,B,159177,new,55281,0.3473
ball_sort,2026-02-04,B,159177,old,103896,0.6527
ball_sort,2026-02-05,A,194240,new,65633,0.3379
ball_sort,2026-02-05,A,194240,old,128607,0.6621
ball_sort,2026-02-05,B,195253,new,65970,0.3379
ball_sort,2026-02-05,B,195253,old,129283,0.6621
ball_sort,2026-02-06,A,222630,new,75598,0.3396
ball_sort,2026-02-06,A,222630,old,147032,0.6604
ball_sort,2026-02-06,B,223848,new,75878,0.339
ball_sort,2026-02-06,B,223848,old,147970,0.661
ball_sort,2026-02-07,A,245697,new,86522,0.3521
ball_sort,2026-02-07,A,245697,old,159175,0.6479
ball_sort,2026-02-07,B,246926,new,86917,0.352
ball_sort,2026-02-07,B,246926,old,160009,0.648
ball_sort,2026-02-08,A,264045,new,96532,0.3656
ball_sort,2026-02-08,A,264045,old,167513,0.6344
ball_sort,2026-02-08,B,266800,new,97454,0.3653
ball_sort,2026-02-08,B,266800,old,169346,0.6347
ball_sort,2026-02-09,A,271232,new,99850,0.3681
ball_sort,2026-02-09,A,271232,old,171382,0.6319
ball_sort,2026-02-09,B,272973,new,100719,0.369
ball_sort,2026-02-09,B,272973,old,172254,0.631
ball_sort,2026-02-10,A,283516,new,105417,0.3718
ball_sort,2026-02-10,A,283516,old,178099,0.6282
ball_sort,2026-02-10,B,284967,new,105940,0.3718
ball_sort,2026-02-10,B,284967,old,179027,0.6282
ball_sort,2026-02-11,A,286810,new,106102,0.3699
ball_sort,2026-02-11,A,286810,old,180708,0.6301
ball_sort,2026-02-11,B,288416,new,106811,0.3703
ball_sort,2026-02-11,B,288416,old,181605,0.6297
ball_sort,2026-02-12,A,289861,new,106858,0.3687
ball_sort,2026-02-12,A,289861,old,183003,0.6313
ball_sort,2026-02-12,B,291537,new,107063,0.3672
ball_sort,2026-02-12,B,291537,old,184474,0.6328
ball_sort,2026-02-13,A,304865,new,114854,0.3767
ball_sort,2026-02-13,A,304865,old,190011,0.6233
ball_sort,2026-02-13,B,305925,new,115354,0.3771
ball_sort,2026-02-13,B,305925,old,190571,0.6229
ball_sort,2026-02-14,A,306533,new,116768,0.3809
ball_sort,2026-02-14,A,306533,old,189765,0.6191
ball_sort,2026-02-14,B,307815,new,116814,0.3795
ball_sort,2026-02-14,B,307815,old,191001,0.6205
ball_sort,2026-02-15,A,316506,new,121837,0.3849
ball_sort,2026-02-15,A,316506,old,194669,0.6151
ball_sort,2026-02-15,B,317957,new,122112,0.3841
ball_sort,2026-02-15,B,317957,old,195845,0.6159
ball_sort,2026-02-16,A,318337,new,124624,0.3915
ball_sort,2026-02-16,A,318337,old,193713,0.6085
ball_sort,2026-02-16,B,319530,new,124575,0.3899
ball_sort,2026-02-16,B,319530,old,194955,0.6101
ball_sort,2026-02-17,A,323282,new,127585,0.3947
ball_sort,2026-02-17,A,323282,old,195697,0.6053
ball_sort,2026-02-17,B,325198,new,128484,0.3951
ball_sort,2026-02-17,B,325198,old,196714,0.6049
ball_sort,2026-02-18,A,330443,new,132229,0.4002
ball_sort,2026-02-18,A,330443,old,198214,0.5998
