product,ab_group,scene_group,ad_kill_scene,level5_dau,pv,uv,uv_ratio
ball_sort,A,long,long,2466999,612956,222510,0.0902
ball_sort,A,other_0,other_0,2466999,2390724,2138969,0.867
ball_sort,A,other_1,other_1,2466999,202537,90817,0.0368
ball_sort,A,other_2,other_2,2466999,13385,3214,0.0013
ball_sort,A,other_3plus,other_3plus,2466999,5303,456,0.0002
ball_sort,A,short,short,2466999,60888,11033,0.0045
ball_sort,B,long,long,2466647,494427,236954,0.0961
ball_sort,B,other_0,other_0,2466647,2388398,2138099,0.8668
ball_sort,B,other_1,other_1,2466647,182429,78257,0.0317
ball_sort,B,other_2,other_2,2466647,9222,1871,0.0008
ball_sort,B,other_3plus,other_3plus,2466647,4198,387,0.0002
ball_sort,B,short,short,2466647,38238,11079,0.0045
ios_nuts_sort,A,long,long,224479,127362,36951,0.1646
ios_nuts_sort,A,other_0,other_0,224479,171095,166285,0.7408
ios_nuts_sort,A,other_1,other_1,224479,30150,15574,0.0694
ios_nuts_sort,A,other_2,other_2,224479,1812,681,0.003
ios_nuts_sort,A,other_3plus,other_3plus,224479,403,70,0.0003
ios_nuts_sort,A,short,short,224479,28089,4918,0.0219
ios_nuts_sort,B,long,long,224628,77857,38296,0.1705
ios_nuts_sort,B,other_0,other_0,224628,171148,166507,0.7413
ios_nuts_sort,B,other_1,other_1,224628,28448,14438,0.0643
ios_nuts_sort,B,other_2,other_2,224628,932,333,0.0015
ios_nuts_sort,B,other_3plus,other_3plus,224628,313,46,0.0002
ios_nuts_sort,B,short,short,224628,15540,5008,0.0223
