ab_group,lt_day,retained_users,total_new_users,retention_rate,avg_cum_game_starts
A,0,1547695,1577335,0.9812088110642317,12.292819217223988
A,1,520598,1577335,0.33004910180779606,17.727714150766957
A,2,367998,1577335,0.23330364190232258,21.474465474994215
A,3,307112,1577335,0.19470309097306532,24.54628344644606
A,4,269296,1577335,0.17072847556162768,27.218849515163235
A,5,244565,1577335,0.15504949804575438,29.62099553994554
A,6,225674,1577335,0.1430729680125021,31.832279129037268
A,7,211352,1577335,0.1339930959498141,33.89518142943636
A,8,196074,1577335,0.12430713830606688,35.795286353247725
A,9,184243,1577335,0.11680651225009273,37.56535295292376
A,10,174841,1577335,0.11084582539536623,39.232507996082
A,11,167256,1577335,0.10603708153309221,40.80669356858245
A,12,160948,1577335,0.10203793106727486,42.30850516852793
A,13,155561,1577335,0.09862267685685032,43.759296534978304
A,14,150609,1577335,0.09548320426542238,45.15257253532065
A,15,144158,1577335,0.09139339455473948,46.4778705855129
A,16,138608,1577335,0.08787480148478288,47.73945800987108
A,17,133634,1577335,0.08472138131722178,48.955876208922014
A,18,129489,1577335,0.08209353117758751,50.129032830692275
A,19,126192,1577335,0.08000329669981329,51.264908215439334
A,20,123131,1577335,0.0780626816751039,52.37184047776788
A,21,120675,1577335,0.07650562499405643,53.45635327942384
A,22,115779,1577335,0.0734016553236947,54.48546440673668
A,23,112390,1577335,0.07125309461845454,55.47477232166914
A,24,109868,1577335,0.0696541952090076,56.437368726364404
A,25,106764,1577335,0.0676863190127652,57.37123946403269
A,26,104281,1577335,0.06611214485191795,58.28141517179293
A,27,102622,1577335,0.06506037081533092,59.16768536804167
A,28,100308,1577335,0.06359333939841569,60.0296734682233
A,29,97925,1577335,0.06208256331090098,60.85767386129135
A,30,95300,1577335,0.060418363885921506,61.66739722379837
B,0,1548606,1578142,0.9812843204223701,12.467902761601934
B,1,523247,1578142,0.3315588838013309,18.023713328711864
B,2,370767,1578142,0.23493893451920042,21.860166575631343
B,3,308200,1578142,0.1952929457551982,24.996185387626717
B,4,271374,1578142,0.17195790999795962,27.72924236222089
B,5,246306,1578142,0.15607340784289372,30.172350143396475
B,6,227844,1578142,0.14437484079379423,32.42518797421271
B,7,213308,1578142,0.13516400932235503,34.51398860178615
B,8,197446,1578142,0.12511294927832856,36.450396098703415
B,9,185594,1578142,0.11760285196135709,38.238599568353166
B,10,176477,1578142,0.11182580528241438,39.92464873249682
B,11,168990,1578142,0.1070816187643444,41.52965005683899
B,12,162680,1578142,0.10308324599434018,43.069699051162694
B,13,156747,1578142,0.09932376174007156,44.54309054571769
B,14,152401,1578142,0.0965698904154379,45.961871618650285
B,15,145208,1578142,0.09201199892024925,47.305765894323834
B,16,139658,1578142,0.0884952051209587,48.590666746084956
B,17,134641,1578142,0.08531615025770811,49.83037964897962
B,18,131157,1578142,0.08310849087091023,51.019673768266735
B,19,126926,1578142,0.08042749004842403,52.17921517835531
B,20,124415,1578142,0.07883637847544771,53.30740199551118
B,21,122174,1578142,0.07741635416838281,54.41392599651996
B,22,117953,1578142,0.07474168991130076,55.47166097854312
B,23,113663,1578142,0.07202330335293022,56.48375811555614
B,24,110551,1578142,0.07005136419916586,57.466660794782726
B,25,108287,1578142,0.06861676579167147,58.41738069197829
B,26,105307,1578142,0.06672846930124159,59.344426547167494
B,27,103654,1578142,0.06568103503993937,60.248592965652016
B,28,101848,1578142,0.06453665132795401,61.138561675692046
B,29,98923,1578142,0.06268320594724683,61.993645058556204
B,30,96063,1578142,0.060870948241666466,62.818945950364416
