event_date,ab_group,ad_format,impressions,revenue_usd
2026-01-30,A,banner,82631,19.04863999999996
2026-01-30,A,interstitial,10076,165.37794199999985
2026-01-30,A,rewarded,3682,43.81254000000004
2026-01-30,B,banner,85684,19.605677000000007
2026-01-30,B,interstitial,9905,157.844385
2026-01-30,B,rewarded,3886,46.028477000000024
2026-01-31,A,banner,327331,59.41118300000005
2026-01-31,A,interstitial,44882,383.7018440000005
2026-01-31,A,rewarded,21621,143.72771600000004
2026-01-31,B,banner,345877,59.8137259999999
2026-01-31,B,interstitial,47733,365.96900600000055
2026-01-31,B,rewarded,22226,137.91764599999993
2026-02-01,A,banner,478411,78.91077500000006
2026-02-01,A,interstitial,66211,513.3201219999994
2026-02-01,A,rewarded,32835,187.609428
2026-02-01,B,banner,508349,82.76574500000007
2026-02-01,B,interstitial,69476,473.36798200000027
2026-02-01,B,rewarded,33138,195.09321800000004
2026-02-02,A,banner,946273,186.66780999999997
2026-02-02,A,interstitial,125573,1403.8653929999996
2026-02-02,A,rewarded,55201,450.3843299999996
2026-02-02,B,banner,951324,186.81547600000016
2026-02-02,B,interstitial,127667,1394.471792000002
2026-02-02,B,rewarded,54842,465.474317
2026-02-03,A,banner,2447511,427.84349499999945
2026-02-03,A,interstitial,332967,2841.619652999998
2026-02-03,A,rewarded,148007,1020.7061810000002
2026-02-03,B,banner,2541805,437.5912129999997
2026-02-03,B,interstitial,345890,2920.2527149999987
2026-02-03,B,rewarded,155447,1076.9017959999996
2026-02-04,A,banner,4657836,795.7249829999977
2026-02-04,A,interstitial,615102,4509.941295000004
2026-02-04,A,rewarded,280523,1708.3141360000034
2026-02-04,B,banner,4742545,810.2962249999969
2026-02-04,B,interstitial,621253,4578.003184999999
2026-02-04,B,rewarded,284524,1796.1196569999993
2026-02-05,A,banner,5567544,1005.6242589999936
2026-02-05,A,interstitial,755385,5257.145579000001
2026-02-05,A,rewarded,346138,2079.961453999998
2026-02-05,B,banner,5713036,1042.8079419999917
2026-02-05,B,interstitial,767744,5363.922504999984
2026-02-05,B,rewarded,353505,2181.101182000003
2026-02-06,A,banner,6338165,1161.214610999993
2026-02-06,A,interstitial,844079,5612.659792000003
2026-02-06,A,rewarded,383602,2363.259635999997
2026-02-06,B,banner,6461713,1200.6829799999932
2026-02-06,B,interstitial,852393,5796.428704
2026-02-06,B,rewarded,391740,2505.948342999996
