ab_group,lt_day,retained_users,total_new_users,retention_rate,avg_cum_game_starts
A,0,89572,89589,0.9998102445612742,10.367388853542288
A,1,22261,89589,0.24847916596903638,13.12975923383451
A,2,14484,89589,0.16167163379432742,14.760975119713358
A,3,11466,89589,0.12798446237819375,15.984395405685966
A,4,9513,89589,0.10618491109399592,16.962785609840495
A,5,8559,89589,0.09553628235609282,17.8218084809519
A,6,7657,89589,0.08546808201899787,18.58039491455424
A,7,7207,89589,0.08044514393508131,19.290080255388496
A,8,6313,89589,0.07046624027503376,19.90001004587617
A,9,5825,89589,0.06501914297514204,20.45782406322205
A,10,5492,89589,0.06130216879304379,20.982419716706293
A,11,5175,89589,0.05776378796504035,21.468896851175927
A,12,4885,89589,0.05452678342207191,21.90268894618759
A,13,4720,89589,0.05268503945796917,22.331469265199967
A,14,4604,89589,0.051390237640781794,22.755952181629443
A,15,4210,89589,0.046992376296197076,23.143243032068668
A,16,4063,89589,0.04535154985545101,23.516771032157965
A,17,3953,89589,0.04412372054604918,23.878154684168816
A,18,3748,89589,0.041835493196709414,24.230742613490495
A,19,3631,89589,0.04052952929489111,24.562200716605833
A,20,3596,89589,0.04013885633280872,24.88544352543281
A,21,3453,89589,0.038542678230586346,25.18857225775486
A,22,3273,89589,0.036533502997019726,25.479869180368127
A,23,3103,89589,0.03463594860976236,25.75642098918394
A,24,3102,89589,0.034624786525131436,26.022257196754065
A,25,2896,89589,0.032325397091160744,26.267834220719063
A,26,2827,89589,0.03155521325162687,26.520220116308924
A,27,2879,89589,0.03213564165243501,26.75616426123743
A,28,2791,89589,0.03115337820491355,27.001138532632353
A,29,2631,89589,0.02936744466396544,27.217024411479088
A,30,2465,89589,0.02751453861523178,27.428992398620366
B,0,88667,88683,0.9998195821070555,11.21916263545437
B,1,23128,88683,0.2607940642513221,14.59875060609136
B,2,15201,88683,0.17140827441561518,16.603813583212116
B,3,12049,88683,0.1358659495055422,18.075166604648015
B,4,10347,88683,0.11667399614356753,19.281654883123032
B,5,9094,88683,0.10254501990234882,20.318629275058353
B,6,8508,88683,0.0959372145732553,21.273479697348986
B,7,7835,88683,0.08834838695127589,22.159038372630604
B,8,7118,88683,0.08026341012369902,22.9488176989953
B,9,6574,88683,0.07412920176358491,23.640596281136183
B,10,6009,88683,0.0677581949189811,24.28100086826111
B,11,5677,88683,0.06401452364038203,24.87737221338926
B,12,5486,88683,0.061860785043356674,25.43180767452612
B,13,5309,88683,0.059864912102657784,25.983627076215285
B,14,5322,88683,0.060011501640675216,26.534984157053774
B,15,4870,88683,0.054914696164992165,27.032159489417364
B,16,4538,88683,0.05117102488639311,27.483779303812454
B,17,4537,88683,0.05115974876808407,27.9252280594928
B,18,4290,88683,0.04837454754575285,28.349864122774378
B,19,4111,88683,0.04635612236843589,28.755917143082666
B,20,4091,88683,0.046130600002255225,29.159872805385476
B,21,3882,88683,0.04377389127566726,29.55043243913715
B,22,3778,88683,0.0426011749715278,29.90144672597905
B,23,3570,88683,0.04025574236324887,30.23585129055174
B,24,3507,88683,0.039545346909779774,30.557660430973243
B,25,3338,88683,0.03763968291555315,30.866964356190024
B,26,3300,88683,0.037211190419809886,31.17307713992535
B,27,3293,88683,0.03713225759164665,31.4892031167191
B,28,3264,88683,0.036805250160684685,31.806445429225445
B,29,3161,88683,0.03564380997485426,32.10703291498935
B,30,3029,88683,0.03415536235806186,32.38878928317716
