ab_group,lt_day,retained_users,total_new_users,retention_rate,ad_format,avg_cum_hudi_lti,avg_cum_hudi_ltv,avg_cum_max_lti,avg_cum_max_ltv
A,0,,,,banner,,,,
A,0,,,,interstitial,,,,
A,0,,,,rewarded,,,,
A,1,,,,banner,,,,
A,1,,,,interstitial,,,,
A,1,,,,rewarded,,,,
A,2,,,,banner,,,,
A,2,,,,interstitial,,,,
A,2,,,,rewarded,,,,
A,3,,,,banner,,,,
A,3,,,,interstitial,,,,
A,3,,,,rewarded,,,,
A,4,,,,banner,,,,
A,4,,,,interstitial,,,,
A,4,,,,rewarded,,,,
A,5,,,,banner,,,,
A,5,,,,interstitial,,,,
A,5,,,,rewarded,,,,
A,6,,,,banner,,,,
A,6,,,,interstitial,,,,
A,6,,,,rewarded,,,,
A,7,,,,banner,,,,
A,7,,,,interstitial,,,,
A,7,,,,rewarded,,,,
A,8,,,,banner,,,,
A,8,,,,interstitial,,,,
A,8,,,,rewarded,,,,
A,9,,,,banner,,,,
A,9,,,,interstitial,,,,
A,9,,,,rewarded,,,,
A,10,,,,banner,,,,
A,10,,,,interstitial,,,,
A,10,,,,rewarded,,,,
A,11,,,,banner,,,,
A,11,,,,interstitial,,,,
A,11,,,,rewarded,,,,
A,12,,,,banner,,,,
A,12,,,,interstitial,,,,
A,12,,,,rewarded,,,,
A,13,,,,banner,,,,
A,13,,,,interstitial,,,,
A,13,,,,rewarded,,,,
A,14,,,,banner,,,,
A,14,,,,interstitial,,,,
A,14,,,,rewarded,,,,
A,15,,,,banner,,,,
A,15,,,,interstitial,,,,
A,15,,,,rewarded,,,,
A,16,,,,banner,,,,
A,16,,,,interstitial,,,,
A,16,,,,rewarded,,,,
A,17,,,,banner,,,,
A,17,,,,interstitial,,,,
A,17,,,,rewarded,,,,
A,18,,,,banner,,,,
A,18,,,,interstitial,,,,
A,18,,,,rewarded,,,,
A,19,,,,banner,,,,
A,19,,,,interstitial,,,,
A,19,,,,rewarded,,,,
A,20,,,,banner,,,,
A,20,,,,interstitial,,,,
A,20,,,,rewarded,,,,
A,21,,,,banner,,,,
A,21,,,,interstitial,,,,
A,21,,,,rewarded,,,,
A,22,,,,banner,,,,
A,22,,,,interstitial,,,,
A,22,,,,rewarded,,,,
A,23,,,,banner,,,,
A,23,,,,interstitial,,,,
A,23,,,,rewarded,,,,
A,24,,,,banner,,,,
A,24,,,,interstitial,,,,
A,24,,,,rewarded,,,,
A,25,,,,banner,,,,
A,25,,,,interstitial,,,,
A,25,,,,rewarded,,,,
A,26,,,,banner,,,,
A,26,,,,interstitial,,,,
A,26,,,,rewarded,,,,
A,27,,,,banner,,,,
A,27,,,,interstitial,,,,
A,27,,,,rewarded,,,,
A,28,,,,banner,,,,
A,28,,,,interstitial,,,,
A,28,,,,rewarded,,,,
A,29,,,,banner,,,,
A,29,,,,interstitial,,,,
A,29,,,,rewarded,,,,
A,30,,,,banner,,,,
A,30,,,,interstitial,,,,
A,30,,,,rewarded,,,,
B,0,,,,banner,,,,
B,0,,,,interstitial,,,,
B,0,,,,rewarded,,,,
B,1,,,,banner,,,,
B,1,,,,interstitial,,,,
B,1,,,,rewarded,,,,
B,2,,,,banner,,,,
B,2,,,,interstitial,,,,
B,2,,,,rewarded,,,,
B,3,,,,banner,,,,
B,3,,,,interstitial,,,,
B,3,,,,rewarded,,,,
B,4,,,,banner,,,,
B,4,,,,interstitial,,,,
B,4,,,,rewarded,,,,
B,5,,,,banner,,,,
B,5,,,,interstitial,,,,
B,5,,,,rewarded,,,,
B,6,,,,banner,,,,
B,6,,,,interstitial,,,,
B,6,,,,rewarded,,,,
B,7,,,,banner,,,,
B,7,,,,interstitial,,,,
B,7,,,,rewarded,,,,
B,8,,,,banner,,,,
B,8,,,,interstitial,,,,
B,8,,,,rewarded,,,,
B,9,,,,banner,,,,
B,9,,,,interstitial,,,,
B,9,,,,rewarded,,,,
B,10,,,,banner,,,,
B,10,,,,interstitial,,,,
B,10,,,,rewarded,,,,
B,11,,,,banner,,,,
B,11,,,,interstitial,,,,
B,11,,,,rewarded,,,,
B,12,,,,banner,,,,
B,12,,,,interstitial,,,,
B,12,,,,rewarded,,,,
B,13,,,,banner,,,,
B,13,,,,interstitial,,,,
B,13,,,,rewarded,,,,
B,14,,,,banner,,,,
B,14,,,,interstitial,,,,
B,14,,,,rewarded,,,,
B,15,,,,banner,,,,
B,15,,,,interstitial,,,,
B,15,,,,rewarded,,,,
B,16,,,,banner,,,,
B,16,,,,interstitial,,,,
B,16,,,,rewarded,,,,
B,17,,,,banner,,,,
B,17,,,,interstitial,,,,
B,17,,,,rewarded,,,,
B,18,,,,banner,,,,
B,18,,,,interstitial,,,,
B,18,,,,rewarded,,,,
B,19,,,,banner,,,,
B,19,,,,interstitial,,,,
B,19,,,,rewarded,,,,
B,20,,,,banner,,,,
B,20,,,,interstitial,,,,
B,20,,,,rewarded,,,,
B,21,,,,banner,,,,
B,21,,,,interstitial,,,,
B,21,,,,rewarded,,,,
B,22,,,,banner,,,,
B,22,,,,interstitial,,,,
B,22,,,,rewarded,,,,
B,23,,,,banner,,,,
B,23,,,,interstitial,,,,
B,23,,,,rewarded,,,,
B,24,,,,banner,,,,
B,24,,,,interstitial,,,,
B,24,,,,rewarded,,,,
B,25,,,,banner,,,,
B,25,,,,interstitial,,,,
B,25,,,,rewarded,,,,
B,26,,,,banner,,,,
B,26,,,,interstitial,,,,
B,26,,,,rewarded,,,,
B,27,,,,banner,,,,
B,27,,,,interstitial,,,,
B,27,,,,rewarded,,,,
B,28,,,,banner,,,,
B,28,,,,interstitial,,,,
B,28,,,,rewarded,,,,
B,29,,,,banner,,,,
B,29,,,,interstitial,,,,
B,29,,,,rewarded,,,,
B,30,,,,banner,,,,
B,30,,,,interstitial,,,,
B,30,,,,rewarded,,,,
