metric,product,ab_group,bucket,cnt,ratio
start_count,ball_sort,A,1,1677866,0.6378
start_count,ball_sort,A,2,684207,0.2601
start_count,ball_sort,A,3,163556,0.0622
start_count,ball_sort,A,4,53684,0.0204
start_count,ball_sort,A,5,21698,0.0082
start_count,ball_sort,A,6,10629,0.004
start_count,ball_sort,A,7,6023,0.0023
start_count,ball_sort,A,8,3699,0.0014
start_count,ball_sort,A,9,2290,0.0009
start_count,ball_sort,A,10,1519,0.0006
start_count,ball_sort,B,1,1670511,0.6345
start_count,ball_sort,B,2,739484,0.2809
start_count,ball_sort,B,3,155074,0.0589
start_count,ball_sort,B,4,39229,0.0149
start_count,ball_sort,B,5,13439,0.0051
start_count,ball_sort,B,6,5956,0.0023
start_count,ball_sort,B,7,3113,0.0012
start_count,ball_sort,B,8,1778,0.0007
start_count,ball_sort,B,9,1090,0.0004
start_count,ball_sort,B,10,759,0.0003
start_count,ios_nuts_sort,A,1,151254,0.6545
start_count,ios_nuts_sort,A,2,49870,0.2158
start_count,ios_nuts_sort,A,3,15185,0.0657
start_count,ios_nuts_sort,A,4,5927,0.0256
start_count,ios_nuts_sort,A,5,2950,0.0128
start_count,ios_nuts_sort,A,6,1592,0.0069
start_count,ios_nuts_sort,A,7,1002,0.0043
start_count,ios_nuts_sort,A,8,653,0.0028
start_count,ios_nuts_sort,A,9,483,0.0021
start_count,ios_nuts_sort,A,10,374,0.0016
start_count,ios_nuts_sort,B,1,150723,0.6502
start_count,ios_nuts_sort,B,2,62072,0.2678
start_count,ios_nuts_sort,B,3,15284,0.0659
start_count,ios_nuts_sort,B,4,2769,0.0119
start_count,ios_nuts_sort,B,5,546,0.0024
start_count,ios_nuts_sort,B,6,168,0.0007
start_count,ios_nuts_sort,B,7,97,0.0004
start_count,ios_nuts_sort,B,8,46,0.0002
start_count,ios_nuts_sort,B,9,25,0.0001
start_count,ios_nuts_sort,B,10,15,0.0001
time_to_kill,ball_sort,A,null,479239,1.0
time_to_kill,ball_sort,B,null,368090,1.0
time_to_kill,ios_nuts_sort,A,null,126843,1.0
time_to_kill,ios_nuts_sort,B,null,70388,1.0
