product,ab_group,kill_count,user_count,user_ratio
ball_sort,A,0,7204,0.0377
ball_sort,A,1,143664,0.7523
ball_sort,A,2,27268,0.1428
ball_sort,A,3,7245,0.0379
ball_sort,A,4,2676,0.014
ball_sort,A,5,1172,0.0061
ball_sort,A,6,617,0.0032
ball_sort,A,7,348,0.0018
ball_sort,A,8,229,0.0012
ball_sort,A,9,175,9.0E-4
ball_sort,A,10,98,5.0E-4
ball_sort,A,11,42,2.0E-4
ball_sort,A,12,55,3.0E-4
ball_sort,A,13,40,2.0E-4
ball_sort,A,14,24,1.0E-4
ball_sort,A,15,23,1.0E-4
ball_sort,A,16,16,1.0E-4
ball_sort,A,17,15,1.0E-4
ball_sort,A,18,10,1.0E-4
ball_sort,A,19,8,0.0
ball_sort,A,20,8,0.0
ball_sort,A,21,4,0.0
ball_sort,A,22,4,0.0
ball_sort,A,23,6,0.0
ball_sort,A,24,3,0.0
ball_sort,A,25,1,0.0
ball_sort,A,26,2,0.0
ball_sort,A,27,1,0.0
ball_sort,A,29,2,0.0
ball_sort,A,30,2,0.0
ball_sort,A,31,1,0.0
ball_sort,A,33,1,0.0
ball_sort,A,34,1,0.0
ball_sort,A,36,1,0.0
ball_sort,A,37,1,0.0
ball_sort,A,38,1,0.0
ball_sort,A,39,1,0.0
ball_sort,A,42,1,0.0
ball_sort,A,45,1,0.0
ball_sort,A,47,1,0.0
ball_sort,A,53,1,0.0
ball_sort,B,0,10398,0.044
ball_sort,B,1,211922,0.8963
ball_sort,B,2,13506,0.0571
ball_sort,B,3,542,0.0023
ball_sort,B,4,41,2.0E-4
ball_sort,B,5,14,1.0E-4
ball_sort,B,6,4,0.0
ball_sort,B,7,3,0.0
ball_sort,B,9,2,0.0
ios_nuts_sort,A,0,1444,0.0468
ios_nuts_sort,A,1,17881,0.5793
ios_nuts_sort,A,2,6171,0.1999
ios_nuts_sort,A,3,2345,0.076
ios_nuts_sort,A,4,1124,0.0364
ios_nuts_sort,A,5,591,0.0191
ios_nuts_sort,A,6,344,0.0111
ios_nuts_sort,A,7,222,0.0072
ios_nuts_sort,A,8,185,0.006
ios_nuts_sort,A,9,108,0.0035
ios_nuts_sort,A,10,81,0.0026
ios_nuts_sort,A,11,62,0.002
ios_nuts_sort,A,12,46,0.0015
ios_nuts_sort,A,13,36,0.0012
ios_nuts_sort,A,14,32,0.001
ios_nuts_sort,A,15,27,9.0E-4
ios_nuts_sort,A,16,22,7.0E-4
ios_nuts_sort,A,17,23,7.0E-4
ios_nuts_sort,A,18,17,6.0E-4
ios_nuts_sort,A,19,14,5.0E-4
ios_nuts_sort,A,20,10,3.0E-4
ios_nuts_sort,A,21,7,2.0E-4
ios_nuts_sort,A,22,10,3.0E-4
ios_nuts_sort,A,23,5,2.0E-4
ios_nuts_sort,A,24,8,3.0E-4
ios_nuts_sort,A,25,5,2.0E-4
ios_nuts_sort,A,26,5,2.0E-4
ios_nuts_sort,A,27,2,1.0E-4
ios_nuts_sort,A,28,1,0.0
ios_nuts_sort,A,29,3,1.0E-4
ios_nuts_sort,A,30,1,0.0
ios_nuts_sort,A,31,5,2.0E-4
ios_nuts_sort,A,32,7,2.0E-4
ios_nuts_sort,A,34,2,1.0E-4
ios_nuts_sort,A,35,1,0.0
ios_nuts_sort,A,36,1,0.0
ios_nuts_sort,A,37,1,0.0
ios_nuts_sort,A,38,1,0.0
ios_nuts_sort,A,41,2,1.0E-4
ios_nuts_sort,A,42,1,0.0
ios_nuts_sort,A,44,1,0.0
ios_nuts_sort,A,47,1,0.0
ios_nuts_sort,A,48,1,0.0
ios_nuts_sort,A,49,1,0.0
ios_nuts_sort,A,51,2,1.0E-4
ios_nuts_sort,A,54,1,0.0
ios_nuts_sort,A,57,1,0.0
ios_nuts_sort,A,66,1,0.0
ios_nuts_sort,A,72,1,0.0
ios_nuts_sort,A,98,1,0.0
ios_nuts_sort,A,116,1,0.0
ios_nuts_sort,A,140,1,0.0
ios_nuts_sort,B,0,2317,0.0607
ios_nuts_sort,B,1,31444,0.8239
ios_nuts_sort,B,2,4116,0.1079
ios_nuts_sort,B,3,254,0.0067
ios_nuts_sort,B,4,26,7.0E-4
ios_nuts_sort,B,5,2,1.0E-4
ios_nuts_sort,B,6,2,1.0E-4
ios_nuts_sort,B,7,1,0.0
ios_nuts_sort,B,8,1,0.0
