event_name,event_count,user_count
universal_alive,213234,198916
session_start,21897,20937
app_remove,20663,20636
screen_view,39074,19998
appsflyer_deeplink,17622,12824
iap_initialized,13823,12745
game_new_start,43734,12629
banner_ad_request,35438,12245
app_open,14228,12235
lib_mediation_initialize,12900,12068
interstitial_ad_request,44415,12011
join_exp,34376,11823
lib_tpx_group,12355,11554
app_init,12590,11532
reward_ad_request,19403,10966
home_page,11669,10800
home_play_click,10999,9892
lib_campaign_check,9830,9052
banner_ad_show,14752,8350
banner_ad_impression,83643,8263
banner_ad_paid,85358,8228
interstitial_ad_fill,19409,7761
interstitial_ad_trigger,28182,7760
all_color_finish,24117,7432
reward_ad_fill,10046,7420
lib_ppeula_requessuccess,6735,6731
item_click,51329,6718
game_win,21859,6134
item_action,44697,6087
ecpm_user_ad_value_ac30_003,11148,5046
adrise_adclick_0s_small_1003_tb,12277,5012
adrise_adclick_0s_small_1003_tvA,10826,4871
adrise_adclick_0s_small_1003_ta,11234,4787
adrise_adclick_0s_small_1003_tc,11542,4552
interstitial_ad_show,6999,4282
adrise_adclick_0s_small_1005_r,8256,4242
interstitial_ad_paid,6564,4002
interstitial_ad_impression,6442,3907
reward_ad_trigger,9154,3808
lib_ppeula_requestfail,3991,3685
lib_tpx_fill,7656,3549
interstitial_ad_failed,19048,3345
ecpm_user_ad_value_ac30_01,5350,3145
adrise_adclick_0s_small_101_tb,5818,3114
lib_fullscreen_ad_killed,3317,3066
adrise_adclick_0s_small_101_tvA,5320,3034
game_restart,10797,2852
adrise_adclick_0s_small_101_ta,5243,2829
adrise_adclick_0s_small_101_tc,5376,2694
app_quit,2786,2166
privacy_agree,2166,2153
privacy_click,2163,2152
lib_ad_game_focused,5160,2104
reward_ad_show,3204,2084
interstitial_ad_closed,3916,2074
lib_ad_fot,2049,2046
reward_ad_paid,3068,2008
reward_ad_impression,3041,1984
banner_ad_click,2775,1744
ecpm_user_ad_value_ac30_03,2541,1730
version_update,1661,1659
reward_ad_failed,6004,1632
level_chest_show,1808,1531
level_chest_open,1805,1528
level_chest_claim,3405,1506
level_chest_reward_get,1589,1322
ecpm_user_ad_value_ac30_05,1736,1234
add_coin_success,1475,1224
rating_guide_pv,1189,1185
privacy_pv,1102,1099
reward_ad_over,1842,1089
analysis_referrer_long_meta,1128,998
lib_tpx_max_fill,3557,987
interstitial_ad_click,1738,946
lib_campaign_user,938,937
collection_award_popup,981,910
collection_award_popup_click,1276,898
lib_tpx_imp,3203,891
adrise_adclick_0s_small_108_r,1182,882
lib_tpx_request,150755,815
lib_tpx_error,149440,807
reward_ad_click,1530,741
adrise_adclick_0s_small_11_r,972,739
exp_new_group,1363,733
click_get_new_skin,994,732
theme_change_success,659,623
lib_google_deeplink_server,710,615
game_continue,789,588
settings_pv,712,544
rating_guide_click,1040,541
adrise_adclick_0s_small_115_r,664,532
tube_change_success,571,529
os_update,522,521
get_new_skin,537,498
lib_tpx_max_request,31504,455
adrise_adclick_0s_small_12_r,530,436
adrise_adimp_0s_gan_5_1,434,433
ball_change_success,439,427
lib_user_identified,426,426
analysis_referrer,420,333
trafficsource,326,325
app_first_open,322,322
lib_first_open_unity,316,316
lib_google_install_referrer,378,295
adrise_adclick_0s_small_1003_r_tvA,1798,266
adrise_adclick_0s_small_1003_r_tvA_times,1865,266
adrise_adclick_0s_small_1003_td,3579,265
adrise_adclick_0s_small_1003_r_tvA_fold,1788,263
adrise_adclick_0s_small_101_td,1582,225
adrise_adimp_0s_gan_10_1,214,214
adrise_adclick_336s_small_108_r,275,207
dda_user_enter,191,191
dda_user_group,188,187
adrise_adclick_336s_small_105_1,183,183
adrise_adclick_336s_small_11_r,210,156
adrise_adimp_0s_gan_15_1,152,152
collection_pv,173,147
iap_pay_init,286,141
iap_purchase_click,286,141
settings_sound,282,138
adrise_adimp_0s_gan_20_1,131,131
dda_kill_ad_enter,128,128
adrise_adclick_336s_small_108_1,117,117
lib_ir_block,129,115
ad_reward,136,113
iap_initialize_failed,126,111
adrise_adclick_336s_small_115_r,139,108
settings_vibration,207,105
adrise_adimp_0s_gan_30_1,99,98
app_exception,147,80
home_back_click,94,79
get_coins_popshow,120,76
get_coins_popshowclick,199,74
iap_purchase_failed,202,69
iap_pay_failed,402,68
settings_shop_click,74,63
special_quit_show,75,62
special_quit_click,74,61
adrise_adclick_336s_small_115_1,61,61
adrise_adimp_0s_gan_50_1,48,48
buy_click,89,42
firebase_campaign,43,41
adrise_adimp_0s_red_10_1,40,40
adimp_336s_ganpv_40_1,34,34
adrise_adimp_0s_gan_80_1,33,33
interstitial_ad_display_failed,36,32
adrise_adclick_336s_small_1_134,27,27
adimp_336s_stv_600_1_cpe,27,27
adrise_adimp_0s_red_20_1,24,24
reward_ad_display_faile,33,24
adrise_adimp_0s_gan_100_1,23,23
adrise_adimp_0s_gan_150_1,20,20
restore_purchase_click,43,20
adimp_96s_gat_380_1_15,16,16
lib_app_first_open,12,12
lib_tpx_click,16,11
app_clear_data,10,10
adrise_adimp_0s_gan_200_1,10,10
adrise_adimp_0s_gan_300_1,8,8
adrise_adimp_0s_red_50_1,7,7
privacy_policy_click,6,6
terms_of_service_click,5,5
settings_language,6,4
lib_tpx_close,6,3
adrise_adimp_0s_gan_500_1,1,1
app_update,1,1
