dt,scope_key,ab_group,trigger_pv,show_pv,hudi_impression_pv,paid_pv,paid_revenue_usd,show_rate,paid_ecpm
2026-03-23,classic_revive_back,A,1898,1332,1327.0,1328,44.982855999999984,0.7017913593256059,33.87263253012047
2026-03-24,classic_revive_back,A,5224,3369,3351.0,3353,96.92456500000003,0.6449081163859112,28.90681926632867
2026-03-25,classic_revive_back,A,9379,6115,6091.0,6090,129.82219500000014,0.6519884849131038,21.317273399014802
2026-03-26,classic_revive_back,A,10867,6976,6935.0,6940,137.99925500000026,0.6419434986656851,19.88461887608073
2026-03-27,classic_revive_back,A,11231,7554,7533.0,7532,144.34781299999997,0.6726026177544298,19.164606080722248
2026-03-28,classic_revive_back,A,11769,7772,7738.0,7739,145.92875400000005,0.6603789616789871,18.856280397984243
2026-03-29,classic_revive_back,A,12485,8221,8190.0,8192,143.80891600000018,0.6584701641970364,17.55479931640627
2026-03-30,classic_revive_back,A,12414,8035,8014.0,8015,145.57217100000022,0.6472531013371999,18.16246674984407
2026-03-31,classic_revive_back,A,12344,7751,7713.0,7715,137.182907,0.6279163966299417,17.78132300712897
2026-04-01,classic_revive_back,A,11893,7464,7437.0,7437,127.76147599999993,0.6275960649121332,17.179168481914743
2026-04-02,classic_revive_back,A,12060,7355,7328.0,7328,139.441566,0.6098673300165838,19.028597980349343
2026-04-03,classic_revive_back,A,12338,7768,7721.0,7725,145.97856500000012,0.6295996109580159,18.896901618122993
2026-04-04,classic_revive_back,A,12673,7927,7896.0,7895,149.70796200000015,0.6255030379547069,18.962376440785327
2026-04-05,classic_revive_back,A,12935,7963,7933.0,7934,154.343598,0.6156165442597603,19.453440635240735
2026-04-06,classic_revive_back,A,12768,7894,7869.0,7871,146.79430400000007,0.6182644110275689,18.650019565493594
TOTAL,classic_revive_back,A,162278,103496,0.6377697531396739,103076,103094.0,1990.5969030000015,19.308562118067023
2026-03-23,classic_revive_back,B,1938,1569,1558.0,1558,31.048866,0.8095975232198143,19.928668806161745
2026-03-24,classic_revive_back,B,5291,4107,4087.0,4088,74.30957,0.7762237762237763,18.177487769080233
2026-03-25,classic_revive_back,B,9204,7164,7142.0,7142,125.46668100000016,0.7783572359843546,17.56744343321201
2026-03-26,classic_revive_back,B,10542,8247,8190.0,8191,143.43517400000005,0.7822993739328401,17.51131412525944
2026-03-27,classic_revive_back,B,10837,8585,8538.0,8538,143.86688399999994,0.7921934114607364,16.850185523541803
2026-03-28,classic_revive_back,B,11427,9074,9014.0,9013,159.43697500000033,0.7940841865756542,17.68966770220796
2026-03-29,classic_revive_back,B,12213,9618,9581.0,9583,187.81510200000002,0.7875214934905429,19.59877929667119
2026-03-30,classic_revive_back,B,11374,8861,8817.0,8819,168.15693399999995,0.7790574995604009,19.06757387458895
2026-03-31,classic_revive_back,B,11862,9113,9062.0,9063,145.1281830000001,0.7682515596020907,16.01326084078121
2026-04-01,classic_revive_back,B,11660,9056,9028.0,9031,158.1070839999999,0.776672384219554,17.507151367511895
2026-04-02,classic_revive_back,B,11861,9075,9037.0,9038,160.8407159999999,0.7651125537475761,17.79605178136755
