dt,ab_group,impression_pv,revenue_usd,ecpm
2026-03-23,A,5350,116.11257499999998,21.70328504672897
2026-03-23,B,6185,113.82948000000002,18.40411964430073
2026-03-24,A,15714,300.14148399999993,19.100259895634462
2026-03-24,B,16848,291.76367000000005,17.31740681386515
2026-03-25,A,28429,526.0435130000001,18.50376421963488
2026-03-25,B,29036,435.3334520000001,14.992886485741842
2026-03-26,A,33072,552.4013780000002,16.702992803580077
2026-03-26,B,34104,479.1248429999999,14.048933937368046
2026-03-27,A,35102,573.0347039999999,16.324844852145173
2026-03-27,B,34857,521.42248,14.958902946323548
2026-03-28,A,34907,595.5825339999998,17.061979946715553
2026-03-28,B,36815,589.2452209999997,16.00557438544071
2026-03-29,A,37942,613.7520289999998,16.1760589584102
2026-03-29,B,39501,633.0670039999998,16.026607022607017
2026-03-30,A,36949,574.777088,15.55595788789954
2026-03-30,B,37288,586.445115,15.72744891117786
2026-03-31,A,36585,564.2110490000002,15.421922891895592
2026-03-31,B,36639,509.59384100000017,13.908508447282955
2026-04-01,A,35258,557.975356,15.82549651143003
2026-04-01,B,36714,531.4194699999999,14.474572914964318
2026-04-02,A,35754,536.2086029999998,14.997164037590194
2026-04-02,B,36636,525.524753,14.344490473850858
2026-04-03,A,36395,592.1773,16.27084214864679
2026-04-03,B,37439,591.3240730000005,15.794334063409826
2026-04-04,A,37296,621.5429679999996,16.665137494637484
2026-04-04,B,39098,582.435378,14.896807458182005
2026-04-05,A,38042,661.050293,17.376854345197415
2026-04-05,B,39304,640.8215829999996,16.304233233258692
