date,country_id,ab_group,ad_format,impression,revenue,dau
2026-01-21,Brazil,MAX,BANNER,1357,0.057841999999999984,26
2026-01-21,Brazil,MAX,INTER,208,1.764466,26
2026-01-21,Brazil,MAX,REWARD,100,0.899083,26
2026-01-21,Brazil,ULP,BANNER,1321,0.10431299999999999,27
2026-01-21,Brazil,ULP,INTER,166,5.051067,27
2026-01-21,Brazil,ULP,REWARD,47,0.932206,27
2026-01-22,Brazil,MAX,BANNER,3272,0.21402800000000002,50
2026-01-22,Brazil,MAX,INTER,422,9.193954,50
2026-01-22,Brazil,MAX,REWARD,152,1.352053,50
2026-01-22,Brazil,ULP,BANNER,3922,0.256982,50
2026-01-22,Brazil,ULP,INTER,477,6.7664899999999975,50
2026-01-22,Brazil,ULP,REWARD,157,3.2354399999999988,50
2026-01-23,Brazil,MAX,BANNER,3515,0.41642200000000024,58
2026-01-23,Brazil,MAX,INTER,343,30.803869,58
2026-01-23,Brazil,MAX,REWARD,146,5.588131000000001,58
2026-01-23,Brazil,ULP,BANNER,3284,0.14137799999999998,54
2026-01-23,Brazil,ULP,INTER,364,1.803926,54
2026-01-23,Brazil,ULP,REWARD,134,0.6367450000000001,54
2026-01-24,Brazil,MAX,BANNER,3065,0.48185400000000006,63
2026-01-24,Brazil,MAX,INTER,329,10.397731000000002,63
2026-01-24,Brazil,MAX,REWARD,141,1.7495870000000002,63
2026-01-24,Brazil,ULP,BANNER,2628,0.205279,55
2026-01-24,Brazil,ULP,INTER,240,2.3075390000000007,55
2026-01-24,Brazil,ULP,REWARD,126,0.31265600000000004,55
2026-01-25,Brazil,MAX,BANNER,3461,0.74602,73
2026-01-25,Brazil,MAX,INTER,457,19.972113999999998,73
2026-01-25,Brazil,MAX,REWARD,182,3.0361540000000002,73
2026-01-25,Brazil,ULP,BANNER,3937,0.23674299999999998,75
2026-01-25,Brazil,ULP,INTER,364,4.403031000000001,75
2026-01-25,Brazil,ULP,REWARD,137,0.8511360000000001,75
2026-01-26,Brazil,MAX,BANNER,3746,0.21773400000000004,78
2026-01-26,Brazil,MAX,INTER,431,7.385529,78
