date,product,ad_format,experiment_group,source,is_ironsource,impression,revenue,ecpm
2026-04-02,ios_screw_puzzle,BANNER,A,max,False,701242,92.07079199999897,0.13129674491830062
2026-04-02,ios_screw_puzzle,BANNER,A,max,True,9354,1.20912,0.1292623476587556
2026-04-02,ios_screw_puzzle,BANNER,B,max,False,687485,88.55788699999914,0.12881428249343496
2026-04-02,ios_screw_puzzle,BANNER,B,max,True,9362,1.1278999999999995,0.12047639393292026
2026-04-02,ios_screw_puzzle,INTER,A,max,False,54648,706.442384,12.92714068218416
2026-04-02,ios_screw_puzzle,INTER,A,max,True,378,2.3295,6.162698412698413
2026-04-02,ios_screw_puzzle,INTER,B,max,False,54162,701.462403,12.951190927218345
2026-04-02,ios_screw_puzzle,INTER,B,max,True,408,2.5590000000000006,6.272058823529413
2026-04-02,ios_screw_puzzle,REWARD,A,max,False,27121,446.23307300000016,16.45341517643155
2026-04-02,ios_screw_puzzle,REWARD,A,max,True,80,0.8100000000000003,10.125000000000004
2026-04-02,ios_screw_puzzle,REWARD,B,max,False,26094,445.3453760000002,17.0669646662068
2026-04-02,ios_screw_puzzle,REWARD,B,max,True,95,0.9040000000000004,9.515789473684213
2026-04-02,screw_puzzle,BANNER,A,max,False,1114534,153.14488999999776,0.13740710467334127
2026-04-02,screw_puzzle,BANNER,A,max,True,18778,2.9508199999999953,0.15714240068164848
2026-04-02,screw_puzzle,BANNER,A,ulp,True,13878,2.2391040000000006,0.1613419801124082
2026-04-02,screw_puzzle,BANNER,B,max,False,1117422,147.91165099999807,0.1323686583940517
2026-04-02,screw_puzzle,BANNER,B,max,True,22151,4.1470799999999945,0.1872186357275064
2026-04-02,screw_puzzle,BANNER,B,ulp,True,14289,2.5784380000000002,0.1804491566939604
2026-04-02,screw_puzzle,INTER,A,max,False,155474,830.1092950000001,5.339216171192612
2026-04-02,screw_puzzle,INTER,A,max,True,1154,3.4022000000000006,2.948180242634316
2026-04-02,screw_puzzle,INTER,A,ulp,True,1138,3.738968999999999,3.2855615114235492
2026-04-02,screw_puzzle,INTER,B,max,False,162179,845.1539490000001,5.211241584915434
2026-04-02,screw_puzzle,INTER,B,max,True,1359,4.314700000000001,3.1749080206033855
2026-04-02,screw_puzzle,INTER,B,ulp,True,1327,5.040284,3.798254709871891
2026-04-02,screw_puzzle,REWARD,A,max,False,62472,613.9023629999997,9.82684023242412
2026-04-02,screw_puzzle,REWARD,A,max,True,104,1.0739999999999992,10.326923076923068
