product,target_version,ad_format,placement_id,waterfall_latency_cnt,status_minus_1_cnt,status_minus_2_cnt,status_minus_3_cnt,other_status_cnt,status_minus_1_ratio,status_minus_2_ratio,status_minus_3_ratio
ios_screw_puzzle,1.15.0,banner,ca-app-pub-9205389740674078/4397490487,21225322,1548698,41418,19635206,0,0.07296464100756633,0.0019513484883762896,0.9250840105040574
ios_screw_puzzle,1.15.0,banner,ca-app-pub-9205389740674078/5118124336,15546785,211592,10523,15324670,0,0.01361001647607528,0.0006768601997133169,0.9857131233242116
ios_screw_puzzle,1.15.0,banner,ca-app-pub-9205389740674078/1765111414,11411124,10250310,298060,862754,0,0.8982734741993865,0.026120126290801852,0.07560639950981166
ios_screw_puzzle,1.15.0,banner,ca-app-pub-9205389740674078/9263173193,910288,65939,6348,838001,0,0.07243751428119452,0.006973617140948798,0.9205888685778568
ios_screw_puzzle,1.15.0,interstitial,ca-app-pub-9205389740674078/7819201412,5070342,178392,37305,4854645,0,0.03518342549674164,0.007357491861495733,0.9574590826417626
ios_screw_puzzle,1.15.0,interstitial,ca-app-pub-9205389740674078/7668349176,3559337,47567,4890,3506880,0,0.01336400571229979,0.0013738513661392558,0.985262142921561
ios_screw_puzzle,1.15.0,interstitial,ca-app-pub-9205389740674078/3130338362,1123877,29580,1805,1092492,0,0.026319606149071473,0.001606047636885531,0.972074346214043
ios_screw_puzzle,1.15.0,interstitial,ca-app-pub-9205389740674078/7177394583,466717,37369,729,428619,0,0.08006779268807436,0.0015619743870482542,0.9183702329248774
ios_screw_puzzle,1.15.0,interstitial,ca-app-pub-9205389740674078/5265880251,252586,17896,471,234219,0,0.07085111605552169,0.0018647114250195972,0.9272841725194588
ios_screw_puzzle,1.15.0,interstitial,ca-app-pub-9205389740674078/3729104161,165831,17230,527,148074,0,0.10390095941048416,0.003177934161887705,0.8929211064276281
ios_screw_puzzle,1.15.0,interstitial,ca-app-pub-9205389740674078/3950882861,129984,17328,286,112370,0,0.13330871491875923,0.002200270802560315,0.8644910142786805
ios_screw_puzzle,1.15.0,interstitial,ca-app-pub-9205389740674078/1326635248,90832,14962,179,75691,0,0.16472168398802184,0.0019706711291174917,0.8333076448828607
ios_screw_puzzle,1.15.0,interstitial,ca-app-pub-9205389740674078/1625685001,80657,29828,274,50555,0,0.369812911464597,0.0033971013055283483,0.6267899872298747
ios_screw_puzzle,1.15.0,interstitial,ca-app-pub-9205389740674078/7250160743,71668,15294,165,56209,0,0.2134006809175643,0.00230228274822794,0.7842970363342078
ios_screw_puzzle,1.15.0,rewarded,ca-app-pub-9205389740674078/2914740626,1768629,323514,2016,1443099,0,0.18291795509403047,0.001139865963975486,0.8159421789419941
ios_screw_puzzle,1.15.0,rewarded,ca-app-pub-9205389740674078/4118722642,1620793,315052,1024,1304717,0,0.19438139231845153,0.0006317895005716337,0.8049868181809768
ios_screw_puzzle,1.15.0,rewarded,ca-app-pub-9205389740674078/6387390236,968734,123839,1266,843629,0,0.12783591780612635,0.0013068602939506613,0.870857221899923
ios_screw_puzzle,1.15.0,rewarded,ca-app-pub-9205389740674078/7866395969,456328,92811,2087,361430,0,0.2033865991129188,0.004573464700829228,0.792039936186252
ios_screw_puzzle,1.15.0,rewarded,ca-app-pub-9205389740674078/7888174169,168964,24435,1103,143426,0,0.14461660472053217,0.00652801780260884,0.848855377476859
ios_screw_puzzle,1.15.0,rewarded,ca-app-pub-9205389740674078/2747194986,87236,13531,606,73099,0,0.15510798294282177,0.006946673391719015,0.8379453436654593
ios_screw_puzzle,1.15.0,rewarded,ca-app-pub-9205389740674078/5072392841,41467,7590,420,33457,0,0.1830371138495671,0.01012853594424482,0.8068343502061881
screw_puzzle,1.16.0,banner,ca-app-pub-9205389740674078/7695313106,57534187,7572482,301868,49659837,0,0.13161708533397715,0.005246758766227113,0.8631361558997958
screw_puzzle,1.16.0,banner,ca-app-pub-9205389740674078/7374343936,46792413,2110090,152119,44530204,0,0.04509470370762885,0.003250933009161122,0.95165436328321
screw_puzzle,1.16.0,banner,ca-app-pub-9205389740674078/8284010971,21294781,11303897,427284,9563600,0,0.5308294553487073,0.020065198134697888,0.4491053465165949
screw_puzzle,1.16.0,banner,ca-app-pub-9205389740674078/3338806058,4492251,1230124,80054,3182073,0,0.27383242833047394,0.017820464617849714,0.7083471070516764
screw_puzzle,1.16.0,banner,ca-app-pub-9205389740674078/8303360727,1782767,72321,3934,1706512,0,0.04056671455103219,0.002206682084647068,0.9572266033643207
screw_puzzle,1.16.0,banner,ca-app-pub-9205389740674078/5429695421,1484819,508102,6790,969927,0,0.34219793793048175,0.004572947948537835,0.6532291141209804
screw_puzzle,1.16.0,banner,ca-app-pub-9205389740674078/3330235643,1287233,66171,7573,1213489,0,0.05140561188223111,0.005883161789668226,0.9427112263281008
screw_puzzle,1.16.0,banner,ca-app-pub-9205389740674078/7708089658,938008,11181,1763,925064,0,0.011919940981313592,0.0018795148868666364,0.9862005441318198
screw_puzzle,1.16.0,banner,ca-app-pub-9205389740674078/9521071021,938008,203688,11456,722864,0,0.2171495339058942,0.012213115453173108,0.7706373506409328
screw_puzzle,1.16.0,interstitial,ca-app-pub-9205389740674078/1348800097,7407986,398250,30218,6979518,0,0.053759550841483775,0.004079111380610061,0.942161337777906
screw_puzzle,1.16.0,interstitial,ca-app-pub-9205389740674078/1515512599,6267147,270906,26145,5970096,0,0.0432263675959731,0.004171754707524812,0.952601877696502
screw_puzzle,1.16.0,interstitial,ca-app-pub-9205389740674078/7852845683,2720187,177932,20789,2521466,0,0.06541167941762828,0.007642489284744027,0.9269458312976278
screw_puzzle,1.16.0,interstitial,ca-app-pub-9205389740674078/8124469157,1468595,52304,13076,1403215,0,0.03561499256091707,0.008903748140229267,0.9554812592988536
screw_puzzle,1.16.0,interstitial,ca-app-pub-9205389740674078/8274885659,545628,15332,5340,524956,0,0.02809973095222386,0.00978688776968924,0.9621133812780868
screw_puzzle,1.16.0,interstitial,ca-app-pub-9205389740674078/2359855204,198181,5978,1523,190680,0,0.030164344715184605,0.007684894111948169,0.9621507611728672
screw_puzzle,1.16.0,interstitial,ca-app-pub-9205389740674078/3443838179,109442,10890,2190,96362,0,0.09950476051241754,0.020010599221505453,0.880484640266077
screw_puzzle,1.16.0,interstitial,ca-app-pub-9205389740674078/3769357338,80136,3777,806,75553,0,0.047132374962563645,0.01005790156733553,0.9428097234701008
screw_puzzle,1.16.0,interstitial,ca-app-pub-9205389740674078/5175567023,59012,15289,1534,42189,0,0.2590828983935471,0.02599471293974107,0.7149223886667119
screw_puzzle,1.16.0,rewarded,ca-app-pub-9205389740674078/3262588933,3010636,570792,17541,2422303,0,0.189591833752071,0.005826343669576794,0.8045818225783522
screw_puzzle,1.16.0,rewarded,ca-app-pub-9205389740674078/4944423385,2771220,831921,11042,1928257,0,0.3002002728040358,0.003984526670563867,0.6958152005254004
screw_puzzle,1.16.0,rewarded,ca-app-pub-9205389740674078/5999723485,1782528,266471,39607,1476450,0,0.149490498886974,0.022219566817463735,0.8282899342955623
screw_puzzle,1.16.0,rewarded,ca-app-pub-9205389740674078/7008320884,1034512,184525,26213,823774,0,0.17836912476607328,0.0253385170979167,0.7962923581360101
screw_puzzle,1.16.0,rewarded,ca-app-pub-9205389740674078/4529490418,611763,66761,8798,536204,0,0.1091288619939421,0.014381386255788598,0.8764897517502693
screw_puzzle,1.16.0,rewarded,ca-app-pub-9205389740674078/3767073081,301550,43005,7649,250896,0,0.1426131653125518,0.02536561100978279,0.8320212236776654
screw_puzzle,1.16.0,rewarded,ca-app-pub-9205389740674078/8733691864,178278,45625,13566,119087,0,0.25592052861261627,0.07609463871032882,0.6679848326770549
screw_puzzle,1.16.0,rewarded,ca-app-pub-9205389740674078/4564498091,97001,4621,7714,84666,0,0.04763868413727693,0.07952495335099638,0.8728363625117267
