product,event_date,ad_format,experiment_group,show_pv,impression_pv,display_failed_pv,max_impression_pv,impression_show_rate,impression_plus_failed_show_rate,hudi_max_rate
ios_screw_puzzle,2025-09-19,interstitial,have_is_adx,556,543,2,549,0.9766187050359713,0.9802158273381295,0.9890710382513661
ios_screw_puzzle,2025-09-19,interstitial,no_is_adx,1017,1000,0,969,0.983284169124877,0.983284169124877,1.0319917440660475
ios_screw_puzzle,2025-09-20,interstitial,have_is_adx,2063,2043,3,2034,0.9903053805138148,0.9917595734367426,1.0044247787610618
ios_screw_puzzle,2025-09-20,interstitial,no_is_adx,2378,2360,1,2381,0.992430613961312,0.9928511354079058,0.991180176396472
ios_screw_puzzle,2025-09-21,interstitial,have_is_adx,3282,3245,10,3155,0.9887263863497867,0.9917733089579525,1.0285261489698891
ios_screw_puzzle,2025-09-21,interstitial,no_is_adx,3265,3252,4,3224,0.9960183767228178,0.9972434915773354,1.0086848635235732
ios_screw_puzzle,2025-09-22,interstitial,have_is_adx,12989,12753,65,12776,0.9818307798906767,0.9868350142428208,0.9981997495303695
ios_screw_puzzle,2025-09-22,interstitial,no_is_adx,13405,13302,31,13279,0.9923162998881014,0.9946288698246922,1.0017320581369078
ios_screw_puzzle,2025-09-23,interstitial,have_is_adx,20325,20063,62,20523,0.9871094710947109,0.990159901599016,0.9775861228865176
ios_screw_puzzle,2025-09-23,interstitial,no_is_adx,18906,18815,33,19037,0.9951867132127367,0.9969321908388872,0.9883384987130325
ios_screw_puzzle,2025-09-24,interstitial,have_is_adx,23674,23318,62,23589,0.9849624060150376,0.9875813128326434,0.9885115943872144
ios_screw_puzzle,2025-09-24,interstitial,no_is_adx,24530,24409,25,24469,0.9950672645739911,0.9960864247859763,0.9975479177735094
ios_screw_puzzle,2025-09-25,interstitial,have_is_adx,44974,44227,141,44943,0.9833904033441544,0.9865255480944546,0.9840687092539439
ios_screw_puzzle,2025-09-25,interstitial,no_is_adx,47555,46739,206,47010,0.9828409210387972,0.9871727473451792,0.9942352690916826
ios_screw_puzzle,2025-09-26,interstitial,have_is_adx,78379,77233,284,80981,0.985378736651399,0.9890021561897957,0.953717538681913
ios_screw_puzzle,2025-09-26,interstitial,no_is_adx,79150,78088,248,81509,0.9865824384080859,0.9897157296272899,0.9580291746923653
ios_screw_puzzle,2025-09-27,interstitial,have_is_adx,97280,95909,315,97402,0.9859066611842106,0.9891447368421052,0.9846717726535389
ios_screw_puzzle,2025-09-27,interstitial,no_is_adx,99180,97873,309,98564,0.9868219399072393,0.9899374873966525,0.9929893267318697
ios_screw_puzzle,2025-09-28,interstitial,have_is_adx,107535,105971,315,108500,0.985455898079695,0.9883851769191426,0.9766912442396314
ios_screw_puzzle,2025-09-28,interstitial,no_is_adx,110738,109433,323,111641,0.9882154274052267,0.991132222001481,0.9802223197570785
ios_screw_puzzle,2025-09-29,interstitial,have_is_adx,105101,103710,290,105091,0.9867651116545038,0.9895243622800924,0.9868590079074326
ios_screw_puzzle,2025-09-29,interstitial,no_is_adx,114603,113144,332,113996,0.9872690941772903,0.9901660514995244,0.9925260535457384
ios_screw_puzzle,2025-09-30,interstitial,have_is_adx,109098,107614,375,109632,0.986397550825863,0.9898348274028855,0.9815929655575014
ios_screw_puzzle,2025-09-30,interstitial,no_is_adx,115023,113600,331,115270,0.9876285612442729,0.9905062465767716,0.9855122755270235
ios_screw_puzzle,2025-10-01,interstitial,have_is_adx,109315,108007,361,110549,0.9880345789690345,0.9913369619905776,0.9770056716930954
ios_screw_puzzle,2025-10-01,interstitial,no_is_adx,113177,111852,339,113465,0.988292674306617,0.9912879825406222,0.9857841625170758
ios_screw_puzzle,2025-10-02,interstitial,have_is_adx,112436,111011,378,112575,0.9873261233057028,0.9906880358604006,0.9861070397512769
ios_screw_puzzle,2025-10-02,interstitial,no_is_adx,115002,113546,332,114377,0.9873393506199892,0.990226256934662,0.9927345532755711
ios_screw_puzzle,2025-10-03,interstitial,have_is_adx,113804,112261,382,114063,0.986441601349689,0.9897982496221573,0.984201713088381
ios_screw_puzzle,2025-10-03,interstitial,no_is_adx,118684,117180,312,118180,0.9873276937076607,0.9899565232044758,0.991538331358944
ios_screw_puzzle,2025-10-04,interstitial,have_is_adx,111063,109702,398,110781,0.9877456938854524,0.9913292455633289,0.9902600626461217
ios_screw_puzzle,2025-10-04,interstitial,no_is_adx,114489,113168,343,114012,0.9884617736201731,0.9914576946256846,0.9925972704627583
ios_screw_puzzle,2025-10-05,interstitial,have_is_adx,42585,41927,150,42857,0.9845485499589057,0.9880709169895503,0.9782999276664256
ios_screw_puzzle,2025-10-05,interstitial,no_is_adx,46084,45481,147,46139,0.986915198333478,0.9901050256054162,0.9857387459632848
ios_screw_puzzle,2025-10-06,interstitial,have_is_adx,59700,58896,207,59566,0.986532663316583,0.99,0.9887519726018198
ios_screw_puzzle,2025-10-06,interstitial,no_is_adx,61491,60601,186,60942,0.9855263371875559,0.9885511700899319,0.994404515769092
ios_screw_puzzle,2025-10-07,interstitial,have_is_adx,109525,108302,327,110406,0.9888335996347866,0.9918192193563113,0.9809430646885133
