product,event_date,country,ad_format,hudi_show_pv,hudi_impression_pv,max_impression_pv,hudi_max_rate
ios_screw_puzzle,2025-08-01,IN,interstitial,43679,42751,54656,0.7821831088992974
ios_screw_puzzle,2025-08-01,IN,rewarded,12883,12724,16487,0.7717595681445988
ios_screw_puzzle,2025-08-01,US,interstitial,29787,29533,54419,0.5426964846836583
ios_screw_puzzle,2025-08-01,US,rewarded,15121,15059,27392,0.5497590537383178
ios_screw_puzzle,2025-08-02,IN,interstitial,56720,55731,57784,0.9644711338778901
ios_screw_puzzle,2025-08-02,IN,rewarded,17538,17421,18245,0.9548369416278433
ios_screw_puzzle,2025-08-02,US,interstitial,53287,52874,55979,0.9445327712177781
ios_screw_puzzle,2025-08-02,US,rewarded,24300,24239,25543,0.9489488313823748
ios_screw_puzzle,2025-08-03,IN,interstitial,55914,54979,56298,0.9765711037692281
ios_screw_puzzle,2025-08-03,IN,rewarded,17959,17873,18348,0.974111619795073
ios_screw_puzzle,2025-08-03,US,interstitial,61277,60795,62932,0.9660427127693383
ios_screw_puzzle,2025-08-03,US,rewarded,29028,28976,30028,0.9649660317037432
ios_screw_puzzle,2025-08-04,IN,interstitial,55079,54105,54394,0.9946869139978675
ios_screw_puzzle,2025-08-04,IN,rewarded,18001,17896,18064,0.9906997342781222
ios_screw_puzzle,2025-08-04,US,interstitial,57839,57437,58515,0.9815773733230796
ios_screw_puzzle,2025-08-04,US,rewarded,26892,26799,27433,0.9768891481062953
ios_screw_puzzle,2025-08-05,IN,interstitial,53859,52596,53901,0.9757889464017365
ios_screw_puzzle,2025-08-05,IN,rewarded,17775,17622,18137,0.9716050063406296
ios_screw_puzzle,2025-08-05,US,interstitial,59068,58649,60055,0.9765881275497461
ios_screw_puzzle,2025-08-05,US,rewarded,27375,27285,27975,0.9753351206434316
ios_screw_puzzle,2025-08-06,IN,interstitial,53644,52430,52744,0.9940467162141665
ios_screw_puzzle,2025-08-06,IN,rewarded,17828,17638,17803,0.9907318991181262
ios_screw_puzzle,2025-08-06,US,interstitial,59918,59409,60464,0.9825516009526329
ios_screw_puzzle,2025-08-06,US,rewarded,28169,28066,28600,0.9813286713286713
ios_screw_puzzle,2025-08-07,IN,interstitial,52543,51339,51886,0.9894576571714914
ios_screw_puzzle,2025-08-07,IN,rewarded,17790,17568,17645,0.9956361575517144
ios_screw_puzzle,2025-08-07,US,interstitial,58498,57970,58969,0.983058895351795
ios_screw_puzzle,2025-08-07,US,rewarded,27168,27071,27619,0.9801585864803215
ios_screw_puzzle,2025-08-08,IN,interstitial,49279,48398,48833,0.9910920893657977
ios_screw_puzzle,2025-08-08,IN,rewarded,16678,16511,16652,0.9915325486428057
ios_screw_puzzle,2025-08-08,US,interstitial,56039,55604,56589,0.982593790312605
ios_screw_puzzle,2025-08-08,US,rewarded,26640,26547,27100,0.9795940959409594
ios_screw_puzzle,2025-08-09,IN,interstitial,48775,47836,48840,0.9794430794430794
ios_screw_puzzle,2025-08-09,IN,rewarded,16420,16176,16465,0.9824476161554814
ios_screw_puzzle,2025-08-09,US,interstitial,57270,56845,58105,0.9783151191807934
ios_screw_puzzle,2025-08-09,US,rewarded,26902,26800,27482,0.9751837566407103
ios_screw_puzzle,2025-08-10,IN,interstitial,52912,51698,51939,0.9953599414698011
ios_screw_puzzle,2025-08-10,IN,rewarded,19164,18931,18964,0.9982598607888631
ios_screw_puzzle,2025-08-10,US,interstitial,64270,63717,64281,0.9912260232417044
ios_screw_puzzle,2025-08-10,US,rewarded,29581,29473,29667,0.9934607476320491
ios_screw_puzzle,2025-08-11,IN,interstitial,48024,46893,47738,0.9822992165570406
ios_screw_puzzle,2025-08-11,IN,rewarded,16501,16273,16570,0.9820760410380205
ios_screw_puzzle,2025-08-11,US,interstitial,60354,59814,61004,0.9804930824208249
ios_screw_puzzle,2025-08-11,US,rewarded,28821,28696,29239,0.981428913437532
ios_screw_puzzle,2025-08-12,IN,interstitial,46967,45883,47273,0.9705963234827492
ios_screw_puzzle,2025-08-12,IN,rewarded,15894,15708,16258,0.9661705006765899
ios_screw_puzzle,2025-08-12,US,interstitial,62669,62079,63556,0.9767606520234124
ios_screw_puzzle,2025-08-12,US,rewarded,29049,28933,29511,0.9804140828843482
ios_screw_puzzle,2025-08-13,IN,interstitial,48574,47747,48143,0.9917745051201629
ios_screw_puzzle,2025-08-13,IN,rewarded,16811,16695,16796,0.9939866634913075
ios_screw_puzzle,2025-08-13,US,interstitial,62110,61470,62338,0.9860759087554942
ios_screw_puzzle,2025-08-13,US,rewarded,28441,28321,28819,0.9827197335091433
ios_screw_puzzle,2025-08-14,IN,interstitial,47648,46706,47268,0.9881103494964881
ios_screw_puzzle,2025-08-14,IN,rewarded,16084,15962,16141,0.9889102286103711
ios_screw_puzzle,2025-08-14,US,interstitial,60750,59943,61793,0.9700613338080365
ios_screw_puzzle,2025-08-14,US,rewarded,28912,28780,29795,0.9659338815237456
ios_screw_puzzle,2025-08-15,IN,interstitial,43795,42980,45149,0.9519590688608829
ios_screw_puzzle,2025-08-15,IN,rewarded,14686,14598,15466,0.9438768912453123
ios_screw_puzzle,2025-08-15,US,interstitial,58410,57673,61219,0.9420768062202911
ios_screw_puzzle,2025-08-15,US,rewarded,27537,27450,29236,0.9389109317280065
ios_screw_puzzle,2025-08-16,IN,interstitial,46122,45126,45652,0.9884780513449575
ios_screw_puzzle,2025-08-16,IN,rewarded,15937,15742,16017,0.9828307423362678
ios_screw_puzzle,2025-08-16,US,interstitial,60226,59630,61153,0.9750952528902915
ios_screw_puzzle,2025-08-16,US,rewarded,28434,28324,29160,0.9713305898491084
ios_screw_puzzle,2025-08-17,IN,interstitial,45321,44197,44616,0.9906087502241349
ios_screw_puzzle,2025-08-17,IN,rewarded,14971,14821,15082,0.98269460283782
ios_screw_puzzle,2025-08-17,US,interstitial,64263,63576,64594,0.9842400222930923
ios_screw_puzzle,2025-08-17,US,rewarded,30896,30778,31456,0.9784460834181078
ios_screw_puzzle,2025-08-18,IN,interstitial,42296,41264,41575,0.9925195429945881
ios_screw_puzzle,2025-08-18,IN,rewarded,14757,14632,14790,0.989317106152806
