product,experiment_group,ad_format,network_name,trigger_pv,show_pv,impression_pv,display_failed_pv,show_rate,impression_rate,display_failed_total_pv,display_failed_share
ios_screw_puzzle,have_is_adx,interstitial,Unity Ads,789953,755830,703970,16005,0.956803759210991,0.931386687482635,41059,0.38980491487858937
ios_screw_puzzle,have_is_adx,interstitial,IsAdxCustomAdapter,1006692,969404,943597,5151,0.9629598725330091,0.9733784882257552,41059,0.12545361552887307
ios_screw_puzzle,have_is_adx,interstitial,Mintegral,248533,238567,228225,4910,0.9599006972917078,0.9566494946912188,41059,0.11958401324922673
ios_screw_puzzle,have_is_adx,interstitial,Ogury,232352,226849,220879,4595,0.9763161065968875,0.9736829344630128,41059,0.11191212645217857
ios_screw_puzzle,have_is_adx,interstitial,InMobi,251342,242285,237870,3307,0.9639654335526892,0.9817776585426254,41059,0.08054263377091503
ios_screw_puzzle,have_is_adx,interstitial,Google AdMob,959326,939928,937529,2217,0.979779553561563,0.9974476768433327,41059,0.053995469933510315
ios_screw_puzzle,have_is_adx,interstitial,HyprMX,17573,17261,15638,1617,0.9822454902407102,0.9059730027229014,41059,0.03938235222484717
ios_screw_puzzle,have_is_adx,interstitial,BidMachine,146793,141789,140575,1145,0.9659111810508676,0.9914379817898427,41059,0.027886699627365497
ios_screw_puzzle,have_is_adx,interstitial,ironSource,79197,75755,74752,684,0.9565387577812291,0.9867599498382945,41059,0.016658954187875982
ios_screw_puzzle,have_is_adx,interstitial,Chartboost,37144,35531,33552,498,0.9565744130949817,0.9443021586783372,41059,0.01212888769819041
ios_screw_puzzle,have_is_adx,interstitial,Liftoff Monetize,639911,615517,602231,443,0.9618790738087015,0.9784148934960367,41059,0.01078935190822962
ios_screw_puzzle,have_is_adx,interstitial,DT Exchange,437224,418807,402390,239,0.9578774266737416,0.96080055968501,41059,0.005820891887284152
ios_screw_puzzle,have_is_adx,interstitial,Liftoff_custom,164471,157327,154088,85,0.9565637711207446,0.9794123068513351,41059,0.0020701916753939455
ios_screw_puzzle,have_is_adx,interstitial,Google Ad Manager,18423,17711,17632,66,0.961352657004831,0.9955394952289538,41059,0.0016074429479529457
ios_screw_puzzle,have_is_adx,interstitial,PubMatic,17528,16854,16809,36,0.9615472387037882,0.9973300106799573,41059,0.0008767870625197886
ios_screw_puzzle,have_is_adx,interstitial,Facebook,94268,92113,89854,34,0.9771396444180421,0.9754757743206713,41059,0.0008280766701575782
ios_screw_puzzle,have_is_adx,interstitial,Amazon Ad Marketplace,65593,62989,56362,16,0.9603006418367813,0.8947911540110178,41059,0.0003896831388976838
ios_screw_puzzle,have_is_adx,interstitial,AppLovin,4345240,4244192,4240812,9,0.9767451280021356,0.9992036175554735,41059,0.00021919676562994714
ios_screw_puzzle,have_is_adx,interstitial,BIGO Ads,20998,20184,19781,2,0.9612344032765026,0.980033690051526,41059,4.871039236221048e-05
ios_screw_puzzle,have_is_adx,interstitial,__NO_NETWORK__,3378350,0,0,0,0.0,,41059,0.0
ios_screw_puzzle,have_is_adx,interstitial,Pangle,1234433,1210205,1205973,0,0.9803731753768734,0.9965030717936217,41059,0.0
ios_screw_puzzle,have_is_adx,interstitial,Moloco,641125,613961,613755,0,0.9576307272372783,0.9996644738020819,41059,0.0
ios_screw_puzzle,have_is_adx,interstitial,APPLOVIN_EXCHANGE,120474,112281,112229,0,0.9319936251805369,0.9995368762301725,41059,0.0
ios_screw_puzzle,have_is_adx,interstitial,LINE,3081,3038,2351,0,0.9860434923726062,0.7738643844634628,41059,0.0
ios_screw_puzzle,no_is_adx,interstitial,Unity Ads,1137789,1086128,1008521,21809,0.9545952720583518,0.9285470957382556,40895,0.5332925785548356
ios_screw_puzzle,no_is_adx,interstitial,Mintegral,283104,273926,261714,5879,0.967580818356505,0.9554186167067018,40895,0.14375840567306516
ios_screw_puzzle,no_is_adx,interstitial,InMobi,306785,297930,292479,4299,0.9711361376860016,0.9817037559158192,40895,0.10512287565717081
ios_screw_puzzle,no_is_adx,interstitial,HyprMX,18896,18556,16889,1656,0.9820067739204065,0.9101638284112955,40895,0.04049394791539308
ios_screw_puzzle,no_is_adx,interstitial,ironSource,144898,139307,137452,1484,0.9614142362213419,0.9866840862268228,40895,0.036288054774422304
ios_screw_puzzle,no_is_adx,interstitial,Ogury,233279,228480,225805,1393,0.9794280668212741,0.9882921918767507,40895,0.034062843868443576
ios_screw_puzzle,no_is_adx,interstitial,Google AdMob,981183,964233,962768,1365,0.9827249351038492,0.9984806576833608,40895,0.03337816358968089
ios_screw_puzzle,no_is_adx,interstitial,BidMachine,155820,150610,149323,1254,0.9665639840841997,0.9914547506805657,40895,0.03066389534172882
ios_screw_puzzle,no_is_adx,interstitial,Chartboost,38200,36769,34416,664,0.9625392670157068,0.9360058745138568,40895,0.0162367037535151
ios_screw_puzzle,no_is_adx,interstitial,Liftoff Monetize,742329,712880,698976,541,0.9603289107659811,0.9804960161598025,40895,0.01322900110037902
ios_screw_puzzle,no_is_adx,interstitial,DT Exchange,512711,495833,478303,212,0.9670808701198141,0.9646453543834315,40895,0.005184007824917471
ios_screw_puzzle,no_is_adx,interstitial,Liftoff_custom,206444,196670,193107,108,0.9526554416694115,0.981883357909188,40895,0.0026409096466560706
ios_screw_puzzle,no_is_adx,interstitial,IsAdxCustomAdapter,1982,1933,1812,93,0.9752774974772956,0.9374030005173306,40895,0.0022741166401760607
ios_screw_puzzle,no_is_adx,interstitial,Facebook,99953,97947,95667,55,0.9799305673666623,0.976722104811786,40895,0.0013449076904267026
ios_screw_puzzle,no_is_adx,interstitial,Google Ad Manager,26490,25733,25698,35,0.9714231785579464,0.9986398787549061,40895,0.0008558503484533561
ios_screw_puzzle,no_is_adx,interstitial,AppLovin,4658352,4551248,4549562,16,0.9770081779994298,0.9996295521580015,40895,0.0003912458735786771
ios_screw_puzzle,no_is_adx,interstitial,PubMatic,18472,17887,17838,16,0.9683304460805544,0.9972605803097222,40895,0.0003912458735786771
ios_screw_puzzle,no_is_adx,interstitial,Amazon Ad Marketplace,82580,79042,71549,10,0.9571566965366917,0.9052022975127147,40895,0.00024452867098667317
ios_screw_puzzle,no_is_adx,interstitial,BIGO Ads,26161,25387,24955,5,0.9704139750009556,0.9829834167093394,40895,0.00012226433549333658
ios_screw_puzzle,no_is_adx,interstitial,Pangle,1494795,1463943,1459635,1,0.9793603805204059,0.9970572624753833,40895,2.4452867098667318e-05
ios_screw_puzzle,no_is_adx,interstitial,__NO_NETWORK__,3492632,0,0,0,0.0,,40895,0.0
ios_screw_puzzle,no_is_adx,interstitial,Moloco,824232,792667,792588,0,0.9617037436061692,0.999900336459068,40895,0.0
ios_screw_puzzle,no_is_adx,interstitial,APPLOVIN_EXCHANGE,135382,129546,129547,0,0.9568923490567431,1.0000077192657435,40895,0.0
ios_screw_puzzle,no_is_adx,interstitial,LINE,3877,3844,2904,0,0.9914882641217436,0.7554630593132154,40895,0.0
ios_screw_puzzle,have_is_adx,rewarded,Unity Ads,180815,180799,173133,7192,0.9999115117661699,0.9575993230051051,16943,0.4244820869975801
ios_screw_puzzle,have_is_adx,rewarded,IsAdxCustomAdapter,222999,222995,218924,3625,0.9999820626998327,0.98174398529115,16943,0.2139526648173287
ios_screw_puzzle,have_is_adx,rewarded,Liftoff_custom,133751,133744,130529,2420,0.9999476639426995,0.9759615384615384,16943,0.14283184796080978
ios_screw_puzzle,have_is_adx,rewarded,Google AdMob,626536,626525,625090,1392,0.9999824431477201,0.9977095886038068,16943,0.08215782328985421
ios_screw_puzzle,have_is_adx,rewarded,Liftoff Monetize,506653,506633,503499,538,0.9999605252510101,0.9938140626449521,16943,0.03175352653013044
ios_screw_puzzle,have_is_adx,rewarded,BidMachine,49952,49949,49594,353,0.9999399423446509,0.9928927506056178,16943,0.020834562946349524
ios_screw_puzzle,have_is_adx,rewarded,ironSource,36914,36912,36510,289,0.9999458200140868,0.989109232769831,16943,0.017057191760609103
ios_screw_puzzle,have_is_adx,rewarded,Ogury,35557,35554,35053,258,0.9999156284275952,0.9859087585081847,16943,0.015227527592516084
ios_screw_puzzle,have_is_adx,rewarded,InMobi,64780,64780,63865,247,1.0,0.9858752701451066,16943,0.014578291919966948
ios_screw_puzzle,have_is_adx,rewarded,Mintegral,96591,96572,96253,175,0.9998032943027818,0.9966967651078987,16943,0.01032874933600897
ios_screw_puzzle,have_is_adx,rewarded,Facebook,111112,111109,110886,114,0.9999730002159982,0.9979929618662755,16943,0.00672844242460013
ios_screw_puzzle,have_is_adx,rewarded,Chartboost,9546,9544,9355,111,0.9997904881625812,0.9801969823973177,16943,0.006551378150268548
ios_screw_puzzle,have_is_adx,rewarded,HyprMX,160305,160292,160169,67,0.9999189045881289,0.9992326504129962,16943,0.003954435460072006
ios_screw_puzzle,have_is_adx,rewarded,DT Exchange,96631,96628,96132,61,0.999968954062361,0.9948669122821543,16943,0.0036003069114088414
ios_screw_puzzle,have_is_adx,rewarded,Amazon Ad Marketplace,40888,40889,39376,56,1.0000244570534143,0.9629973831592848,16943,0.0033051997875228707
ios_screw_puzzle,have_is_adx,rewarded,AppLovin,2044136,2043999,2043475,26,0.9999329790190086,0.9997436397963013,16943,0.001534557044207047
ios_screw_puzzle,have_is_adx,rewarded,Google Ad Manager,4259,4259,4246,12,1.0,0.9969476402911481,16943,0.0007082570973263295
ios_screw_puzzle,have_is_adx,rewarded,PubMatic,2086,2086,2078,5,1.0,0.9961649089165868,16943,0.0002951071238859706
ios_screw_puzzle,have_is_adx,rewarded,BIGO Ads,5268,5268,5266,2,1.0,0.9996203492786636,16943,0.00011804284955438824
ios_screw_puzzle,have_is_adx,rewarded,__NO_NETWORK__,481649,0,0,0,0.0,,16943,0.0
ios_screw_puzzle,have_is_adx,rewarded,Pangle,324859,324845,324687,0,0.9999569043800541,0.9995136141852268,16943,0.0
ios_screw_puzzle,have_is_adx,rewarded,Moloco,235927,235925,235913,0,0.9999915228015446,0.9999491363780862,16943,0.0
ios_screw_puzzle,have_is_adx,rewarded,APPLOVIN_EXCHANGE,31306,31306,31305,0,1.0,0.9999680572414233,16943,0.0
ios_screw_puzzle,have_is_adx,rewarded,LINE,887,887,845,0,1.0,0.9526493799323562,16943,0.0
ios_screw_puzzle,no_is_adx,rewarded,Unity Ads,243511,243495,235125,7732,0.9999342945493223,0.9656255775272593,14554,0.5312628830562045
ios_screw_puzzle,no_is_adx,rewarded,Liftoff_custom,158785,158781,155060,3027,0.9999748087035929,0.9765652061644655,14554,0.207984059365123
ios_screw_puzzle,no_is_adx,rewarded,ironSource,69737,69737,68508,1091,1.0,0.9823766436755238,14554,0.07496220970180019
ios_screw_puzzle,no_is_adx,rewarded,Google AdMob,684640,684636,683764,858,0.9999941575134377,0.9987263304880257,14554,0.05895286519169988
ios_screw_puzzle,no_is_adx,rewarded,Liftoff Monetize,538456,538441,535882,513,0.9999721425706093,0.9952473901504528,14554,0.03524804177545692
ios_screw_puzzle,no_is_adx,rewarded,InMobi,81056,81057,80167,321,1.000012337149625,0.9890200722948049,14554,0.022055792222069534
ios_screw_puzzle,no_is_adx,rewarded,Mintegral,104960,104949,104497,221,0.9998951981707317,0.9956931461948184,14554,0.015184828913013605
ios_screw_puzzle,no_is_adx,rewarded,BidMachine,59465,59466,59242,221,1.0000168166148153,0.9962331416271483,14554,0.015184828913013605
ios_screw_puzzle,no_is_adx,rewarded,Facebook,114697,114697,114377,129,1.0,0.9972100403672285,14554,0.00886354266868215
ios_screw_puzzle,no_is_adx,rewarded,Ogury,27970,27969,27687,110,0.9999642474079371,0.9899174085594765,14554,0.007558059639961523
ios_screw_puzzle,no_is_adx,rewarded,Chartboost,10124,10124,9949,92,1.0,0.9827143421572501,14554,0.006321286244331455
ios_screw_puzzle,no_is_adx,rewarded,DT Exchange,95007,95006,94551,47,0.9999894744597766,0.9952108287897606,14554,0.0032293527552562868
ios_screw_puzzle,no_is_adx,rewarded,HyprMX,163796,163785,163709,46,0.9999328432928765,0.9995359770430747,14554,0.0031606431221657275
ios_screw_puzzle,no_is_adx,rewarded,IsAdxCustomAdapter,1059,1058,945,46,0.9990557129367328,0.8931947069943289,14554,0.0031606431221657275
ios_screw_puzzle,no_is_adx,rewarded,Amazon Ad Marketplace,50459,50457,48743,45,0.9999603638597674,0.9660304814000039,14554,0.0030919334890751682
ios_screw_puzzle,no_is_adx,rewarded,AppLovin,2176050,2175985,2175697,41,0.9999701293628364,0.9998676461464578,14554,0.002817094956712931
ios_screw_puzzle,no_is_adx,rewarded,Google Ad Manager,6142,6142,6136,9,1.0,0.9990231195050472,14554,0.0006183866978150337
ios_screw_puzzle,no_is_adx,rewarded,PubMatic,2222,2222,2218,5,1.0,0.9981998199819982,14554,0.0003435481654527965
ios_screw_puzzle,no_is_adx,rewarded,__NO_NETWORK__,481781,0,0,0,0.0,,14554,0.0
ios_screw_puzzle,no_is_adx,rewarded,Pangle,437639,437632,437512,0,0.999984005081814,0.9997257970166715,14554,0.0
ios_screw_puzzle,no_is_adx,rewarded,Moloco,309319,309317,309311,0,0.9999935341831572,0.9999806024240504,14554,0.0
ios_screw_puzzle,no_is_adx,rewarded,APPLOVIN_EXCHANGE,36915,36915,36906,0,1.0,0.9997561966680212,14554,0.0
ios_screw_puzzle,no_is_adx,rewarded,BIGO Ads,6619,6619,6618,0,1.0,0.9998489197764012,14554,0.0
ios_screw_puzzle,no_is_adx,rewarded,LINE,1701,1701,1667,0,1.0,0.9800117577895355,14554,0.0
screw_puzzle,have_is_adx,interstitial,Unity Ads,2647420,2644459,1993137,175841,0.9988815526059334,0.7537031203735811,613560,0.28659136840732774
screw_puzzle,have_is_adx,interstitial,Mintegral,1176301,1175325,926682,93595,0.999170280395919,0.7884474507051241,613560,0.15254416845948238
screw_puzzle,have_is_adx,interstitial,MaticooCustomAdapter,260555,260456,170183,68483,0.999620041833778,0.6534040298553306,613560,0.11161581589412609
screw_puzzle,have_is_adx,interstitial,BidMachine,339052,338777,241609,53748,0.9991889149746942,0.713180056497342,613560,0.08760023469587326
screw_puzzle,have_is_adx,interstitial,AppLovin,7806996,7800491,6693174,38594,0.9991667729815668,0.8580452179228205,613560,0.06290175369971966
screw_puzzle,have_is_adx,interstitial,Google AdMob,8002370,7996903,7606441,30573,0.9993168273898857,0.9511733479823377,613560,0.0498288675924115
screw_puzzle,have_is_adx,interstitial,IsAdxCustomAdapter,1937361,1935581,1689926,30271,0.9990812244078414,0.873084619036868,613560,0.04933665819153791
screw_puzzle,have_is_adx,interstitial,Facebook,4476964,4474233,4115724,21105,0.9993899883939206,0.919872523402335,613560,0.03439761392528848
screw_puzzle,have_is_adx,interstitial,InMobi,2661756,2659634,2420384,20420,0.999202781922911,0.9100440135748001,613560,0.033281178694830174
screw_puzzle,have_is_adx,interstitial,Moloco,1363526,1362191,1182704,19957,0.9990209207598535,0.8682365395161178,613560,0.03252656626898755
screw_puzzle,have_is_adx,interstitial,DT Exchange,1440504,1439186,1281397,15041,0.9990850424573622,0.8903623298169938,613560,0.024514309928939305
screw_puzzle,have_is_adx,interstitial,ironSource,155118,155005,125684,14710,0.9992715223249398,0.8108383600529016,613560,0.023974835386922223
screw_puzzle,have_is_adx,interstitial,Chartboost,88647,88584,72561,10074,0.9992893160513047,0.8191208344622054,613560,0.016418932133776647
screw_puzzle,have_is_adx,interstitial,Liftoff Monetize,1446627,1445421,1172867,7367,0.9991663365884917,0.8114362528287606,613560,0.012006975682899797
screw_puzzle,have_is_adx,interstitial,Pangle,3671596,3668499,3380196,4102,0.9991564976103036,0.9214111820665618,613560,0.006685572723124063
screw_puzzle,have_is_adx,interstitial,Ogury,1074737,1073996,982464,3944,0.9993105289945354,0.9147743567015147,613560,0.0064280591955147015
screw_puzzle,have_is_adx,interstitial,APPLOVIN_EXCHANGE,589863,589339,549715,1118,0.9991116581307863,0.9327653523693494,613560,0.001822152682704218
screw_puzzle,have_is_adx,interstitial,LINE,13801,13792,12001,951,0.9993478733425114,0.8701421113689095,613560,0.001549970663015842
screw_puzzle,have_is_adx,interstitial,Liftoff_custom,138471,138341,111187,862,0.9990611752641347,0.8037169024367324,613560,0.001404915574678923
