product,experiment_group,ad_format,network_name,failure_reason,display_failed_pv,reason_pv,reason_share_in_network
ios_screw_puzzle,have_is_adx,interstitial,Unity Ads,-4205_Ad Display Failed/6_Video failed to start,16005,7036,0.43961262105592
ios_screw_puzzle,have_is_adx,interstitial,Unity Ads,-4205_Ad Display Failed/6_,16005,5963,0.3725710715401437
ios_screw_puzzle,have_is_adx,interstitial,Unity Ads,-4205_Ad Display Failed/7_Failed invoke WebView the method:  show,16005,1256,0.07847547641362074
ios_screw_puzzle,have_is_adx,interstitial,Unity Ads,-4205_Ad Display Failed/5_No connection,16005,664,0.04148703530146829
ios_screw_puzzle,have_is_adx,interstitial,Unity Ads,-4205_Ad Display Failed/2_Video player error (video_player_stuck),16005,331,0.020681037175882537
ios_screw_puzzle,have_is_adx,interstitial,Unity Ads,-25_Failed to display ad. No valid view controller found./-1_,16005,254,0.015870040612308654
ios_screw_puzzle,have_is_adx,interstitial,Unity Ads,-4205_Ad Display Failed/6_Campaign has expired,16005,55,0.003436426116838488
ios_screw_puzzle,have_is_adx,interstitial,Unity Ads,-4205_Ad Display Failed/2_Video player error (video_player_prepare_timeout),16005,40,0.002499218994064355
ios_screw_puzzle,have_is_adx,interstitial,Unity Ads,-4205_Ad Display Failed/2_Video player error (video_player_generic_error),16005,36,0.0022492970946579195
ios_screw_puzzle,have_is_adx,interstitial,Unity Ads,-4205_Ad Display Failed/6_Show Failed after 10.0 seconds due timeout,16005,28,0.0017494532958450483
ios_screw_puzzle,have_is_adx,interstitial,Unity Ads,-4205_Ad Display Failed/6_Web view content process terminated.,16005,17,0.0010621680724773508
ios_screw_puzzle,have_is_adx,interstitial,Unity Ads,"12_Error Domain=com.levelplay.error Code=12 ""The view controller, passed for presenting ad from,
alr",16005,16,0.000999687597625742
ios_screw_puzzle,have_is_adx,interstitial,Unity Ads,-4205_Ad Display Failed/17_The provided view controller is already presenting another view controlle,16005,13,0.0008122461730709153
ios_screw_puzzle,have_is_adx,interstitial,Unity Ads,-4205_Ad Display Failed/5_Can't show a new ad unit when ad unit is already open,16005,13,0.0008122461730709153
ios_screw_puzzle,have_is_adx,interstitial,Unity Ads,"17_Error Domain=com.levelplay.error Code=17 ""The provided view controller is already presenting anot",16005,8,0.000499843798812871
ios_screw_puzzle,have_is_adx,interstitial,Unity Ads,-4205_Ad Display Failed/0_Screen+visible+timeout,16005,4,0.0002499218994064355
ios_screw_puzzle,have_is_adx,interstitial,Unity Ads,-4205_Ad Display Failed/6_wv_terminated,16005,3,0.00018744142455482662
ios_screw_puzzle,have_is_adx,interstitial,Unity Ads,-4205_Ad Display Failed/-5205_Ad Not Ready,16005,2,0.00012496094970321776
ios_screw_puzzle,have_is_adx,interstitial,Unity Ads,-4205_Ad Display Failed/17_Web view content process terminated.,16005,2,0.00012496094970321776
ios_screw_puzzle,have_is_adx,interstitial,Unity Ads,-4205_Ad Display Failed/6_Lifecycle Error: campaign(s) failed to load (Error: loadScarAd failed.),16005,2,0.00012496094970321776
ios_screw_puzzle,have_is_adx,interstitial,Unity Ads,-4205_Ad Display Failed/6_error showing Gma ad: INTERSTITIAL_SHOW_ERROR,16005,2,0.00012496094970321776
ios_screw_puzzle,have_is_adx,interstitial,Unity Ads,-4205_Ad Display Failed/6_show method timeout after 30 for listener ID 32C26B45-9415-458D-8187-5FC22,16005,2,0.00012496094970321776
ios_screw_puzzle,have_is_adx,interstitial,Unity Ads,-4205_Ad Display Failed/6_show method timeout after 30 for listener ID 747EEFB4-3512-4215-A6E8-41B82,16005,2,0.00012496094970321776
ios_screw_puzzle,have_is_adx,interstitial,Unity Ads,-4205_Ad Display Failed/6_show method timeout after 30 for listener ID 900FF080-4EF2-431B-8DF2-B75F5,16005,2,0.00012496094970321776
ios_screw_puzzle,have_is_adx,interstitial,Unity Ads,-4205_Ad Display Failed/6_show method timeout after 30 for listener ID B1BA7301-4351-45BF-980F-DACD9,16005,2,0.00012496094970321776
ios_screw_puzzle,have_is_adx,interstitial,Unity Ads,-4205_Ad Display Failed/6_show method timeout after 30 for listener ID C3143A0D-B6EC-4736-B92F-C885C,16005,2,0.00012496094970321776
ios_screw_puzzle,have_is_adx,interstitial,Unity Ads,-4205_Ad Display Failed/6_show method timeout after 30 for listener ID C73B5AD1-6F17-448A-97B4-84130,16005,2,0.00012496094970321776
ios_screw_puzzle,have_is_adx,interstitial,Unity Ads,-4205_Ad Display Failed/6_show method timeout after 30 for listener ID FC0243EB-3B93-40BB-88BC-E4DB3,16005,2,0.00012496094970321776
ios_screw_puzzle,have_is_adx,interstitial,Unity Ads,"-1_Error Domain=Ad not ready or rootController is nil, requestId=E8A3A5D1-ED9C-444B-9F60-DD1B83B9CDB",16005,1,6.248047485160888e-05
ios_screw_puzzle,have_is_adx,interstitial,Unity Ads,-4205_Ad Display Failed/6_Cannot show the ad while another is already being shown,16005,1,6.248047485160888e-05
ios_screw_puzzle,have_is_adx,interstitial,Unity Ads,-4205_Ad Display Failed/6_show method timeout after 20 for listener ID FC923189-7432-4E4D-8BBF-ECD5B,16005,1,6.248047485160888e-05
ios_screw_puzzle,have_is_adx,interstitial,Unity Ads,-4205_Ad Display Failed/6_show method timeout after 30 for listener ID 00186B4E-0470-4C38-9CB4-A21B0,16005,1,6.248047485160888e-05
ios_screw_puzzle,have_is_adx,interstitial,Unity Ads,-4205_Ad Display Failed/6_show method timeout after 30 for listener ID 010649B0-8419-4E81-A7DF-D73AB,16005,1,6.248047485160888e-05
ios_screw_puzzle,have_is_adx,interstitial,Unity Ads,-4205_Ad Display Failed/6_show method timeout after 30 for listener ID 0166287D-43FA-4F3A-AEAC-92722,16005,1,6.248047485160888e-05
ios_screw_puzzle,have_is_adx,interstitial,Unity Ads,-4205_Ad Display Failed/6_show method timeout after 30 for listener ID 03746690-F708-4AA2-9FF1-06A9F,16005,1,6.248047485160888e-05
ios_screw_puzzle,have_is_adx,interstitial,Unity Ads,-4205_Ad Display Failed/6_show method timeout after 30 for listener ID 03ACE359-7A76-418D-9C25-4AC71,16005,1,6.248047485160888e-05
